country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,1-01-2010,30.1,32.8,26.9,1007.9,79,0,12.4,6.3,11.1,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,2-01-2010,30.3,33.1,26.8,1008.7,79,7.11,12.1,8.1,11.1,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,3-01-2010,30.1,33.2,26.2,1008.6,78,0,11.6,10.2,14.8,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,4-01-2010,29.9,32.6,27,1007.2,78,0,11.6,10.6,14.8,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,5-01-2010,30.2,32.8,28.2,1007.7,79,0,11.4,10.4,13,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,6-01-2010,30.2,32.2,27.9,1008.8,78,0,12.1,10.6,13,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,7-01-2010,29.9,32,28.6,1008.7,80,0,12.1,12,14.8,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,8-01-2010,29.9,33.2,27.6,1008.7,76,0,12.1,11.5,14.8,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,9-01-2010,30.3,32.8,27.9,1008.9,76,0,12.1,10.2,13,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,10-01-2010,30.6,35.8,28,1009.2,68,0,12.1,13,18.3,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,11-01-2010,30.6,34,27.4,1008.7,68,0,12.1,13,14.8,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,12-01-2010,30,32.2,27.9,1008.2,69,0,12.1,13,16.5,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,13-01-2010,29.7,32.2,26.4,1008.9,73,0,12.1,9.1,11.1,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,14-01-2010,29.7,32.2,26,1009.8,73,4.06,11.6,10.7,16.5,-, , , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,15-01-2010,29.1,32.4,24.6,1009.6,77,5.08,11.4,9.8,11.1,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,16-01-2010,26,28.6,24,1009.8,90,65.02,6.6,19.3,-,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,17-01-2010,27.2,30,23.6,1008.9,83,8.13,9,25.9,37,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,18-01-2010,25.1,27.9,23.6,1008.5,91,49.02,5.5,16.7,22.2,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,19-01-2010,25.3,26.9,23.2,1009.2,91,7.11,7.7,12.4,18.3,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,20-01-2010,27,29.4,22.8,1009.8,84,-,10,18.1,22.2,-,o, , , 
indonesia,Sabu / Tardamu,ws-973800,-10.5,121.83,21-01-2010,28.7,30.6,25.2,1010.4,80,0,11.6,17.2,22.2,-, , , , 
