country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,1-01-2010,27.6,32.6,24.2,1009.1,84,14.99,8.5,1.5,11.1,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,2-01-2010,28.1,32.5,24.2,1009.9,80,2.03,8.4,5,14.8,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,3-01-2010,28.5,33.6,25.4,1009.8,82,0,9,3.7,11.1,-, , , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,4-01-2010,29.1,34.6,25.5,1008.7,77,27.94,8.9,8.5,13,-, , ,o, 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,5-01-2010,28.3,33,24.7,1009.9,77,0,8.7,8.3,14.8,-, , , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,6-01-2010,28.2,33.6,24.6,1010.4,76,0,8.7,30.6,-,-, , ,o, 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,7-01-2010,27.7,33.4,24.6,1010.4,83,1.02,8.7,4.6,9.4,-, , , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,8-01-2010,27.2,31.5,24.2,1010.4,83,2.03,7.6,4.4,11.1,-,o, ,o, 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,9-01-2010,27.3,32,24,1010.8,81,0,8.4,5,14.8,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,10-01-2010,27.1,33.2,23.2,1011,81,-,8.7,5.6,13,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,11-01-2010,26.9,29,23.2,1010.8,84,0,8.2,6.9,11.1,-, , , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,12-01-2010,28.4,34.4,22.8,1010.6,77,14.99,7.7,7.4,18.3,-,o, ,o, 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,13-01-2010,26.7,32.8,22.8,1011.9,85,0,8,3.7,13,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,14-01-2010,25.4,29.4,22.8,1012.6,88,2.03,8.4,3,11.1,-,o, , , 
indonesia,Samarinda / Temindung,ws-966070,-0.61,117.15,15-01-2010,26.2,28.6,22.8,1012.3,86,0,7.7,0.7,5.4,-,o, , , 
