country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Sanana,ws-976000,-2.08,126,1-01-2010,27.3,31.4,25.2,1007.6,87,32,9.8,3.7,7.6,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,2-01-2010,27.9,32,25,1008,82,-,8.2,0,-,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,3-01-2010,28.8,32.2,25,1008.2,79,2.03,9.8,1.9,5.4,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,4-01-2010,30.2,33.8,24.8,1007.2,67,0,10,5.6,16.5,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,5-01-2010,30.1,34.4,24.8,1007.4,70,0,9.5,4.3,7.6,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,6-01-2010,26.6,33.9,24.2,1008.5,87,6.1,8.4,0,-,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,7-01-2010,27.6,29,24,1008.9,76,-,9.2,8,25.9,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,8-01-2010,27.9,30.8,21,1008.6,77,0,8.9,3.7,7.6,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,9-01-2010,28.7,31.2,24.2,1008.4,74,0,9.8,3.1,7.6,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,10-01-2010,26.9,31.8,25,1008.9,86,2.03,8,1.5,7.6,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,11-01-2010,29.1,33,24.4,1008,78,6.1,9.5,1.9,5.4,-,o, , , 
indonesia,Sanana,ws-976000,-2.08,126,12-01-2010,28.6,31.2,26,1008,78,0,9.2,6.1,13,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,13-01-2010,28.1,30.8,25.8,1009.3,84,0,7.7,1.3,7.6,-, , , , 
indonesia,Sanana,ws-976000,-2.08,126,14-01-2010,29,31.7,25.2,1009.6,77,0,9.3,2.2,7.6,-, , , , 
