country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Sarmi,ws-975800,-1.83,138.71,1-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,2-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,3-01-2010,26.9,32,20.4,1007.8,89,0,10.8,8.1,20.6,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,4-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,5-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,6-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,7-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,8-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,9-01-2010,28.8,31,26.4,1006.7,77,0,11.3,1.9,7.6,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,10-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,11-01-2010,27.2,31.8,25.2,1006.6,86,0,12.1,-,-,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,12-01-2010,27.1,28.8,22,1007.8,87,-,8,8.3,13,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,13-01-2010,28.7,30.4,26.4,1008.5,79,0,9.5,-,-,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,15-01-2010,27.2,29.4,25.4,1008.9,90,34.04,10.1,4.8,11.1,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,16-01-2010,25.6,31,24.6,1011.1,79,0,10,0,-,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,17-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,18-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,19-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,20-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,21-01-2010,27.2,30.2,24.4,1009.9,86,-,10.9,5.9,13,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,22-01-2010,27.3,30.8,25.4,1011.2,85,0,10.9,5.6,13,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,23-01-2010,28.4,31,27,1010.6,78,0.25,11.3,5.7,14.8,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,24-01-2010,26.8,29,25.2,1010.4,89,-,12.2,7.4,-,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,25-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,26-01-2010,28.8,30.6,18,1009.2,77,1.02,11.4,13,16.5,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,27-01-2010,28.7,32,26.6,1008.7,77,0,12.1,10,16.5,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,28-01-2010,28.3,32,25.4,1008.1,83,0.51,12.2,11.5,-,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,29-01-2010,29.1,32,26.2,1009.4,78,0,12.2,8,14.8,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,30-01-2010,29.6,32,19,1009.8,77,-,11.4,3.1,5.4,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,31-01-2010,28.7,31.6,23.2,1010.1,81,7.87,11.3,6.3,11.1,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,1-02-2010,27,29.6,23,1009.7,88,1.02,10,0,-,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,2-02-2010,27.1,30,25,1010.1,84,0,10.9,2.8,11.1,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,3-02-2010,27.1,31.2,22.8,1011.1,84,2.03,9.7,3.7,11.1,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,4-02-2010,25.9,29,19,1011.3,91,5.08,9.3,1.1,5.4,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,5-02-2010,27.1,31.2,25.2,1011.7,84,0,10.5,5.2,11.1,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,6-02-2010,27.5,30,23,1011.2,83,45.97,9.7,4.4,14.8,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,7-02-2010,26.9,30.2,22.4,1012.4,83,0,11.3,4.4,14.8,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,8-02-2010,27.6,30.4,22.4,1012.6,81,-,8.9,9.3,16.5,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,9-02-2010,25.7,29.6,22.4,1013.6,91,0,9.5,0,-,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,10-02-2010,27.4,29.6,22.4,1012.8,80,0,12.1,3.1,9.4,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,11-02-2010,27.1,30.6,24.6,1012.8,84,0,11.4,5.2,13,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,12-02-2010,27.4,31.4,22,1010.4,84,0,13.8,9.3,20.6,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,13-02-2010,28.7,31.6,26,1010.8,78,0,11.7,1.5,18.3,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,14-02-2010,29.2,31.6,22.4,1009.7,74,0,11.6,0,-,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,15-02-2010,28.9,32.2,25.4,1009.5,79,0,11.3,5.6,11.1,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,16-02-2010,29.3,32.6,19.4,1010.5,78,0,11.1,9.3,22.2,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,17-02-2010,26.8,28.6,23.2,1011.3,90,1.02,11.7,3.1,13,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,18-02-2010,29.1,31.8,19,1010.5,78,0,12.6,4.6,11.1,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,19-02-2010,28.9,32,26.8,1010.4,80,-,12.2,6.3,14.8,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,20-02-2010,25.2,30,22.6,1010.8,90,0,9.2,0,-,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,21-02-2010,28.4,32,21.8,1011.2,76,0,11.3,3.7,11.1,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,22-02-2010,28.7,32,25.8,1011.5,79,0,10.9,4.6,13,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,23-02-2010,29.2,31.8,19.4,1009.5,79,0,11.4,7,18.3,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,24-02-2010,26.2,28.6,25,1009.8,92,4.06,11.1,1.5,5.4,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,25-02-2010,27.9,29.6,21.2,1009.8,86,-,11.3,5.6,18.3,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,26-02-2010,27.8,29.2,19.4,1009.1,86,0,10,1.9,7.6,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,27-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,28-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,1-03-2010,25.4,30.4,19.2,1011.5,96,-,8.5,1.3,5.4,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,2-03-2010,26.2,29,23,1011.3,90,-,8.2,2.4,9.4,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,3-03-2010,26.4,29.6,18.6,1011.8,90,-,9.8,1.9,7.6,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,4-03-2010,28.6,31.4,19,1010.7,79,0,10.9,5,13,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,5-03-2010,28.7,31.4,23.4,1011.6,79,0,10,6.3,13,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,6-03-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,7-03-2010,25.1,27,24.4,1011.5,95,10.92,8.5,3.1,13,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,8-03-2010,27.8,31.2,25.8,1011.1,82,0,10.9,8.9,14.8,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,9-03-2010,29.1,31.6,26,1011.9,75,0,11.3,2.8,5.4,-, , , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,10-03-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Sarmi,ws-975800,-1.83,138.71,11-03-2010,24.7,25.6,22.2,1013,95,4.06,9,1.3,7.6,-,o, , , 
indonesia,Sarmi,ws-975800,-1.83,138.71,12-03-2010,28.7,32,17.4,1011.5,78,0,12.2,12.6,29.4,-, , , , 
