country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Saumlaki,ws-979000,-7.98,131.3,1-01-2010,28.5,30.8,26.4,1007.8,83,0,15.4,7.6,14.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,2-01-2010,27.6,29.4,26.4,1008.6,90,28.96,10.9,11.1,25.9,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,3-01-2010,27.6,30.3,24.8,1007.7,86,5.08,12.1,20.2,24.1,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,4-01-2010,27.6,31,24.8,1006.8,86,12.19,10.8,20.6,33.5,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,5-01-2010,28.6,32.8,25.8,1008.2,82,7.11,14.3,15.4,27.8,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,6-01-2010,27.9,30.8,25.7,1009,87,11.43,11.4,14.6,27.8,-, , ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,7-01-2010,29.1,32.8,26.4,1008.2,82,-,13.8,9.6,14.8,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,8-01-2010,26.8,29.6,23.7,1008.8,89,17.02,10.8,15.9,22.2,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,9-01-2010,26.5,29,23,1008.9,90,1.02,13.2,7.6,18.3,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,10-01-2010,26.8,31,24,1008.5,87,-,12.7,5.6,11.1,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,11-01-2010,27.5,30.8,24.6,1007.5,84,0,12.7,9.8,20.6,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,12-01-2010,28.6,32.2,25.6,1008,80,0,15.4,12.8,27.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,13-01-2010,28.2,29.9,26.8,1009.9,84,3.05,14.2,11.5,18.3,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,14-01-2010,27.4,31.3,25.5,1010.3,86,8.89,11.6,9.4,24.1,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,15-01-2010,27.8,30.9,25,1009.3,86,12.95,10.6,9.1,14.8,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,16-01-2010,24.7,27.9,23.6,1009.5,97,74.93,6.4,7.6,18.3,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,17-01-2010,26.2,29,23.4,1010,91,12.19,10.1,8.3,14.8,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,18-01-2010,26.6,29.8,24.5,1010.8,89,4.06,12.9,10,27.8,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,19-01-2010,28.6,32.3,24.4,1011.3,81,-,14.3,13.9,25.9,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,20-01-2010,28,31,24.5,1011.9,80,-,15.1,14.6,24.1,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,21-01-2010,28.1,31.8,24.3,1011.4,82,0,15.4,12.6,24.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,22-01-2010,28.9,32.3,26.6,1011.9,80,0,15,15,27.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,23-01-2010,27.9,31.7,25.5,1011.2,85,9.91,13.5,6.3,14.8,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,24-01-2010,27.8,32.6,25.3,1010.1,86,3.05,13.4,16.3,25.9,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,25-01-2010,27.6,30.4,25.2,1010.3,86,0,14.8,14.1,24.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,26-01-2010,26.9,31.6,24.6,1010,89,37.08,11.6,12.2,25.9,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,27-01-2010,27.9,29.6,26.4,1009.3,86,12.95,14.5,19.8,27.8,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,28-01-2010,27.9,30.6,25.5,1008.9,81,4.06,12.6,29.3,38.9,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,29-01-2010,29.1,32,26.5,1009.2,80,0,15.4,47.4,-,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,30-01-2010,29.1,32.2,26.7,1009.3,80,0,15.3,23.7,37,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,31-01-2010,26.2,31.7,24.2,1010.6,92,114.05,10,12.6,24.1,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,1-02-2010,28.3,31,25.6,1009.8,85,3.05,15.1,14.4,18.3,-, , ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,2-02-2010,26.4,31,25.4,1009.9,91,38.1,11.9,8.9,18.3,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,3-02-2010,28.3,32.4,24.2,1010.4,85,1.02,14.8,14.1,22.2,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,4-02-2010,27.1,30.4,25.6,1012.2,89,-,13.8,5,9.4,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,5-02-2010,28.6,32.6,25.1,1012,82,0,16.4,5.2,11.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,6-02-2010,28.9,31.8,25.2,1012.1,82,0,15.8,4.8,9.4,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,7-02-2010,29.3,33.2,26.9,1012.6,78,0,17.1,6.7,18.3,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,8-02-2010,28.7,32.8,25.6,1012.6,81,0,15,7.6,14.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,9-02-2010,28.2,32.8,25.7,1012.8,82,0,15.8,8.9,11.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,10-02-2010,27.4,31.9,25.2,1012.6,88,18.8,14.2,3.9,11.1,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,11-02-2010,28.7,32.2,25.4,1012.3,82,0,16.1,5,9.4,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,12-02-2010,29.6,33.7,26,1011.2,77,0,13.5,8.5,18.3,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,13-02-2010,29.7,33.8,26,1010.2,78,0,16.3,10,14.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,14-02-2010,29.8,33.6,26.2,1010.1,79,0,16.4,8.3,14.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,15-02-2010,30.1,34.4,27.3,1010.2,78,-,15.9,9.6,18.3,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,16-02-2010,29.6,33.9,27,1010.8,82,0,16.6,6.1,13,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,17-02-2010,29.7,34.6,26.8,1011,79,0,17.1,7.4,13,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,18-02-2010,30,33,27,1010.9,79,0,16.1,6.5,18.3,-, , ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,19-02-2010,29.3,33.8,26.3,1010.5,83,0,16.3,6.5,16.5,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,20-02-2010,28.4,32.2,26,1010.1,85,0,16.3,5.2,11.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,21-02-2010,28,30,25.8,1011.1,86,5.08,12.1,11.1,20.6,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,22-02-2010,29.2,32.8,26.5,1011.2,81,3.05,14.6,11.9,24.1,-, , ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,23-02-2010,28.3,33.2,26.8,1009.9,86,6.1,13.4,11.9,20.6,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,24-02-2010,27.3,28.8,26.5,1009.6,92,4.06,11.7,11.7,22.2,-,o, ,o, 
indonesia,Saumlaki,ws-979000,-7.98,131.3,25-02-2010,29.7,33.6,27.7,1009.6,77,0,15.4,18,24.1,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,26-02-2010,28.6,32.1,26.6,1009.1,84,5.08,14.2,23.5,29.4,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,27-02-2010,29.4,33,26.3,1008.9,79,0,14.8,24.1,37,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,28-02-2010,29.8,34.1,27.2,1010.5,77,0,15.8,12.8,27.8,-, , , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,1-03-2010,29.5,34,26.6,1010.8,79,1.02,15,14.4,22.2,-,o, , , 
indonesia,Saumlaki,ws-979000,-7.98,131.3,2-03-2010,29.6,33.3,26.4,1010.5,80,-,15,18.7,31.3,-,o, , , 
