country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,ALOR STAR,ws-486030,6.2,100.4,1-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,2-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,3-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,4-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,5-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,6-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,7-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,8-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,9-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,10-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,11-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,12-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,13-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,14-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,ALOR STAR,ws-486030,6.2,100.4,15-10-2015,28.2,32.5,24.6,1010.9,86,24.64,11.4,4.6,14.8,-, , ,o, 
malaysia,ALOR STAR,ws-486030,6.2,100.4,16-10-2015,28.2,33.9,25.3,1010.2,83,0,8.5,3.7,7.6,-, , , , 
malaysia,ALOR STAR,ws-486030,6.2,100.4,17-10-2015,28.5,32.7,24.8,1010.6,83,0,10,6.1,14.8,-, , , , 
malaysia,ALOR STAR,ws-486030,6.2,100.4,18-10-2015,27.6,31.9,24.5,1011.4,89,2.29,5.5,5.6,14.8,-,o, ,o, 
