country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,1-01-2010,27.8,33,23,-,74,0,10.5,5.7,13,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,2-01-2010,27.6,30,25,-,83,0,10.3,6.1,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,3-01-2010,26.4,29,25,-,90,-,7.7,6.3,16.5,-,o, ,o, 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,4-01-2010,27.6,32,25,-,84,-,9.3,7,13,-,o, , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,5-01-2010,27.6,32,25,-,82,-,8.9,5.9,11.1,-,o, , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,6-01-2010,27.1,31,24,-,88,-,9.5,7.2,18.3,-,o, ,o, 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,7-01-2010,27.4,30,24,-,82,-,9.8,7.2,22.2,-,o, , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,8-01-2010,26.7,31,24,-,83,-,10,5.9,14.8,-,o, , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,9-01-2010,28.1,33,24,-,76,0,9.7,6.3,14.8,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,10-01-2010,27.5,33,23,-,80,0,9.2,6.9,14.8,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,11-01-2010,27.1,32,23,-,79,0,9,7.4,16.5,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,12-01-2010,27.8,32,23,-,75,0,9.3,9.4,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,13-01-2010,27.4,32,24,-,77,0,9.3,6.9,14.8,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,14-01-2010,27.1,31,23,-,79,0,10.9,6.9,20.6,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,15-01-2010,27.9,34,23,-,72,0,9.2,8.3,22.2,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,16-01-2010,27.7,33,23,-,67,0,8.9,8.7,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,17-01-2010,28.1,32,23,-,67,0,9,8,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,18-01-2010,27.9,32,24,-,74,0,8.5,9.3,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,19-01-2010,28,31,24,-,75,0,8.9,10.2,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,20-01-2010,28.2,32,24,-,74,0,8,5.9,16.5,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,21-01-2010,28.2,32,25,-,78,0,6.9,4.6,16.5,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,22-01-2010,28,32,25,-,83,0,6.6,6.9,18.3,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,23-01-2010,27.1,32,25,-,88,-,6.6,4.8,18.3,-,o, ,o, 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,24-01-2010,27.2,30,24,-,86,0,8.2,5.7,14.8,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,25-01-2010,28.1,32,24,-,76,0,10,7.2,16.5,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,26-01-2010,26.5,33,24,-,85,-,9,5.7,16.5,33.5,o, ,o, 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,27-01-2010,27.7,33,24,-,75,0,11.1,7.4,16.5,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,28-01-2010,28,33,24,-,77,0,9.5,6.5,14.8,-, , , , 
malaysia,BUTTERWORTH,ws-486020,5.46,100.38,29-01-2010,28.1,33,24,-,74,0,11.3,7.2,16.5,-, , , , 
