country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Bintulu,ws-964410,3.2,113.03,1-01-2010,26.7,31.4,23,1008.7,85,5.08,14.5,6.9,13,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,2-01-2010,26.9,32,23.3,1009.6,86,2.03,15.4,5,11.1,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,3-01-2010,27.9,32,23.9,1009.4,85,0,15.1,6.3,14.8,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,4-01-2010,27.4,32,23,1009.1,83,1.02,14.8,8,18.3,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,5-01-2010,25.9,29.2,23.4,1010.3,87,9.91,14.6,4.8,9.4,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,6-01-2010,26.9,32,23.5,1009.9,85,0.51,15.3,5,14.8,-, , ,o, 
malaysia,Bintulu,ws-964410,3.2,113.03,7-01-2010,26.8,31.1,23.7,1010.8,86,0,14.3,5.9,13,-,o, ,o, 
malaysia,Bintulu,ws-964410,3.2,113.03,8-01-2010,27.4,33,23.9,1010,82,0.76,14.6,8,16.5,-,o, ,o, 
malaysia,Bintulu,ws-964410,3.2,113.03,9-01-2010,27.1,32,23.3,1010,81,11.94,15.4,6.5,13,-, , , , 
malaysia,Bintulu,ws-964410,3.2,113.03,10-01-2010,27.1,31.8,23,1010.2,83,0,12.9,5.9,14.8,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,11-01-2010,26.1,31,23,1011.1,84,0.51,15.3,5.2,9.4,-, , , , 
malaysia,Bintulu,ws-964410,3.2,113.03,12-01-2010,27,32,23.1,1011.6,82,0,15.4,6.9,11.1,-,o, , , 
malaysia,Bintulu,ws-964410,3.2,113.03,13-01-2010,25.1,29.9,23.5,1012.3,91,0,9.2,5.4,13,-,o, ,o, 
malaysia,Bintulu,ws-964410,3.2,113.03,14-01-2010,23.4,26.4,22,1013.7,96,177.8,7.1,6.7,14.8,-,o, , , 
