country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,IPOH,ws-486250,4.56,101.1,1-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,2-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,3-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,4-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,5-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,6-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,7-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,8-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,9-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,10-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,11-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,12-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,13-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,14-10-2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malaysia,IPOH,ws-486250,4.56,101.1,15-10-2015,27.2,33.2,24.1,1010.9,79,10.41,8,7.4,9.4,-, , ,o, 
