country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,1-01-2010,25.9,31,23,-,88,-,10.8,6.5,24.1,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,2-01-2010,25.7,30,23,-,92,-,9.5,3.7,11.1,-,o, , ,o
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,3-01-2010,26.1,32,23,-,87,-,10.5,6.3,14.8,-,o, ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,4-01-2010,25.5,29,22,-,87,-,10.8,4.6,9.4,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,5-01-2010,26.1,33,24,-,89,-,10.8,4.3,14.8,-,o, ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,6-01-2010,25.8,31,23,-,90,-,9.8,5.4,18.3,27.8,o, ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,7-01-2010,25.1,28,23,-,88,-,11.3,5.2,7.6,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,8-01-2010,25.7,31,23,-,89,-,11.1,7,18.3,-,o, ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,9-01-2010,25.9,32,21,-,81,0,11.3,8,20.6,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,10-01-2010,26.3,31,22,-,81,0,11.3,7,16.5,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,11-01-2010,26.6,33,22,-,80,0,11.3,6.9,14.8,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,12-01-2010,26.6,33,23,-,81,0,11.3,8.3,20.6,-, , ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,13-01-2010,25.8,29,24,-,85,-,11.3,6.9,16.5,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,14-01-2010,25.4,30,22,-,84,-,11.3,8.9,25.9,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,15-01-2010,26.3,31,22,-,78,0,11.3,9.1,20.6,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,16-01-2010,25.9,31,22,-,79,0,11.3,9.3,22.2,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,17-01-2010,27.1,32,22,-,76,0,11.3,11.9,20.6,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,18-01-2010,26.2,32,23,-,83,-,10.9,11.5,29.4,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,19-01-2010,26.4,32,23,-,84,-,10.6,6.1,14.8,-,o, ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,20-01-2010,26.9,32,24,-,84,0,10.9,5,14.8,-, , ,o, 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,21-01-2010,26.3,31,23,-,89,-,9.5,4.4,9.4,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,22-01-2010,25.2,30,22,-,90,-,10.8,4.6,13,-,o, , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,23-01-2010,26.7,31,23,-,84,0,11.3,8,18.3,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,24-01-2010,26.6,32,23,-,82,0,11.3,8.1,16.5,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,25-01-2010,26.6,32,23,-,81,0,11.3,8.3,18.3,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,26-01-2010,26.9,32,23,-,82,0,11.3,8.3,18.3,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,27-01-2010,26.8,31,23,-,82,0,11.3,9.4,22.2,-, , , , 
malaysia,Johore Bharu / Senai,ws-486790,1.63,103.66,28-01-2010,27,32,23,-,80,0,11.3,9.3,22.2,-, , , , 
