country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kota Bharu,ws-486150,6.16,102.28,1-01-2010,25.8,28,21.3,1010,89,0,8.7,7.6,14.8,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,2-01-2010,27.3,28.8,23.6,1009.8,86,2.29,10.1,16.9,20.6,33.5,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,3-01-2010,26.1,29,23.8,1010.2,90,1.78,10,10.6,22.2,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,4-01-2010,25.7,29.1,23.1,1009.3,90,4.06,10.9,7.2,18.3,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,5-01-2010,26.2,29.1,23.4,1009.2,87,1.52,11.4,9.6,18.3,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,6-01-2010,26.9,30,23.3,1010.4,85,0,12.1,12.6,20.6,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,7-01-2010,25.9,29,23,1012.3,89,6.35,11.9,7.2,13,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,8-01-2010,26.1,29.2,23,1012.4,87,0,11.6,7.2,14.8,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,9-01-2010,25.5,29.2,22,1012.2,81,0.25,10.9,7.6,14.8,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,10-01-2010,25.6,30,21.8,1012.1,83,0,11.6,5.9,14.8,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,11-01-2010,26.2,30,21.5,1012.6,83,0,11.3,4.8,11.1,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,12-01-2010,26.1,29.3,21.6,1013.6,80,0,11.4,7.6,13,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,13-01-2010,26.6,29.8,22.2,1015.2,76,0,11.9,14.6,24.1,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,14-01-2010,27.1,29.9,22.6,1016.1,73,0.25,11.7,15.9,24.1,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,15-01-2010,26.6,29.7,23,1015.6,72,0,11.9,12,18.3,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,16-01-2010,26.3,29.5,22.5,1015.6,76,0,11.1,7.8,16.5,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,17-01-2010,25.8,29.8,22.6,1015.1,80,0,10.8,6.1,13,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,18-01-2010,26.5,30,22,1013.6,76,0,11.1,5.2,13,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,19-01-2010,26.7,29.2,22.1,1012.1,78,0,9.2,4.4,9.4,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,20-01-2010,26.9,30,22.2,1012.2,80,0,10.9,5,13,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,21-01-2010,26.9,30.5,23.9,1012.3,81,0,11.1,10.2,16.5,-, , ,o, 
malaysia,Kota Bharu,ws-486150,6.16,102.28,22-01-2010,26.9,31,24,1013.1,81,0,11.6,9.8,18.3,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,23-01-2010,27.5,30.6,24.1,1013.1,78,0,12.1,14.3,18.3,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,24-01-2010,26.9,30.8,23.8,1013.1,79,0,11.9,11.5,20.6,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,25-01-2010,27.3,30.5,23.7,1013,78,0,11.4,10.9,16.5,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,26-01-2010,25.6,27,23.9,1013.1,89,1.78,8.4,12,18.3,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,27-01-2010,26.5,29.6,23.5,1013.2,80,53.85,11.4,10.6,20.6,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,28-01-2010,25.9,29.9,23,1013.2,83,0,11.7,6.3,16.5,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,29-01-2010,26.5,29.4,22.4,1013.1,81,0,12.1,10.4,18.3,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,30-01-2010,26.6,30.3,22.5,1013.1,79,0,11.9,11.1,22.2,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,31-01-2010,25.4,30,22,1013.3,82,0,10.9,6.3,14.8,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,1-02-2010,25.5,29.8,21.1,1012.3,80,0,11.3,5.4,13,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,2-02-2010,27.2,30.4,21.2,1011.4,79,0,12.2,8.3,16.5,-, , , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,3-02-2010,26.7,30.1,22.4,1011.7,85,0,11.4,9.6,18.3,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,4-02-2010,26.3,30,23,1011.8,85,10.41,10.9,7.4,18.3,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,5-02-2010,26.4,29.4,22.7,1012.5,84,2.29,11.4,7.4,14.8,-,o, , , 
malaysia,Kota Bharu,ws-486150,6.16,102.28,6-02-2010,27.3,30.3,22.8,1012.9,80,0,12.4,12.2,18.3,-, , , , 
