country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,1-01-2010,26.3,32.2,24,-,87,5.33,10.9,8,18.3,-,o, ,o, 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,2-01-2010,27.8,31.2,23.8,-,83,40.13,11.9,5.6,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,3-01-2010,27.8,32.1,24,-,84,0,11.9,5.9,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,4-01-2010,28.2,32,24.1,-,83,0,11.9,6.3,11.1,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,5-01-2010,28.2,32.3,24,-,82,0,11.9,5.6,13,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,6-01-2010,28.3,32.2,24.3,-,82,0,11.9,5,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,7-01-2010,27.3,32,24,-,81,0,11.9,8,16.5,-, , ,o, 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,8-01-2010,27.4,31.3,23.8,-,79,0,11.9,10.6,18.3,33.5, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,9-01-2010,28.1,31.6,23.8,-,78,0,11.9,6.9,11.1,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,10-01-2010,27.8,32,24.2,-,81,0,11.7,6.9,13,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,11-01-2010,26.6,32,24,-,85,0,11.7,8.7,18.3,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,12-01-2010,26.9,31.9,23.8,-,85,0.51,10.6,6.3,13,33.5,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,13-01-2010,26.4,30,23.8,-,86,55.88,11.7,10.2,18.3,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,14-01-2010,25.3,29.4,24,-,87,2.03,10.9,10.4,20.6,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,15-01-2010,24.7,27,23,-,92,14.73,8,8.1,18.3,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,16-01-2010,24.1,26,23,-,93,65.53,11.3,5.7,16.5,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,17-01-2010,26,28.5,23.1,-,88,10.67,11.6,7.4,16.5,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,18-01-2010,26.4,31.4,24,-,88,0,11.4,5.9,18.3,-,o, ,o, 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,19-01-2010,27,30,24.3,-,87,14.73,11.9,5.4,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,20-01-2010,27.6,32,24.5,-,84,0,11.9,4.6,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,21-01-2010,26.1,32.2,23,-,87,0,11.9,7,13,-,o, ,o, 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,22-01-2010,27.2,31.5,22.9,-,82,1.52,11.4,8.3,18.3,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,23-01-2010,26.3,30.2,23.6,-,86,0,11.7,6.1,9.4,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,24-01-2010,27.6,32.3,23.6,-,79,1.52,11.9,5,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,25-01-2010,27.2,32,23,-,81,0,11.9,7.8,18.3,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,26-01-2010,27.2,32.1,23,-,79,0,11.9,6.9,13,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,27-01-2010,26.9,31.2,23.3,-,82,0,11.7,7.6,24.1,-,o, , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,28-01-2010,27.8,32,23.6,-,81,3.3,11.9,6.5,11.1,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,29-01-2010,27.7,31.6,24,-,81,0,11.7,7.6,18.3,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,30-01-2010,27.5,31.7,24,-,82,0,11.7,6.9,14.8,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,31-01-2010,27.3,32,23.8,-,85,0,11.9,6.5,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,1-02-2010,28.1,32.1,24,-,83,0,11.7,5.2,9.4,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,2-02-2010,27.9,32.3,24,-,82,0,11.7,6.5,14.8,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,3-02-2010,27.9,32.7,23.9,-,81,0,11.9,6.1,11.1,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,4-02-2010,28,32.2,24.1,-,79,0,11.9,7.4,11.1,-, , , , 
malaysia,Kota Kinabalu,ws-964710,5.93,116.05,5-02-2010,27.8,32,24,-,79,0,11.7,6.5,11.1,-, , , , 
