country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,1-01-2010,26.9,32.1,23,1008.7,86,44.2,6.9,5,16.5,-,o, , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,2-01-2010,26.7,31,24,1009,88,4.32,6.9,2.6,11.1,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,3-01-2010,27,32.7,24,1009.4,84,7.11,8.4,6.5,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,4-01-2010,27.6,32,22.4,1008.4,77,12.7,10.1,2.2,11.1,-,o, , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,5-01-2010,27.8,33.5,23.4,1008.1,77,0.25,10.1,4.8,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,6-01-2010,28.8,34.2,23,1009.1,72,0,10.1,9.8,22.2,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,7-01-2010,28.6,33.2,22.7,1010.3,73,27.69,10,6.3,13,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,8-01-2010,25.7,31,23,1011,85,0,7.9,4.1,18.3,37,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,9-01-2010,27.1,33.3,23.1,1010.8,77,15.75,8.4,4.1,11.1,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,10-01-2010,27.1,32.8,23.9,1011,79,4.32,8,3.1,16.5,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,11-01-2010,26.8,32.2,23.7,1011.5,78,8.13,8.9,4.1,16.5,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,12-01-2010,26.8,33.3,23.4,1012,78,0,8.7,3.3,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,13-01-2010,27.3,32.2,23.6,1013.6,80,22.1,9.7,3.7,9.4,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,14-01-2010,27.4,33,23,1013.9,77,0,9.8,3.7,13,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,15-01-2010,27.8,32.1,23.4,1013.5,77,0,9.7,2,5.4,-,o, , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,16-01-2010,27.7,33.4,23.6,1013.7,77,0.51,9,3.5,18.3,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,17-01-2010,28.4,33.6,23.5,1013.5,73,0,10.5,4.1,13,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,18-01-2010,27.6,32.2,23.7,1012.3,79,0,8.9,5,16.5,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,19-01-2010,28,33,24.6,1011,79,1.52,7.9,3.7,13,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,20-01-2010,28.4,32,24.8,1011.4,80,1.02,8.4,3.5,11.1,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,21-01-2010,27.6,31.6,24.9,1011.5,82,1.52,7.7,3.9,13,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,22-01-2010,27.3,33.4,24,1011.8,83,0,8,3.5,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,23-01-2010,27.6,34.2,24,1011.6,79,16.26,9.8,4.1,13,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,24-01-2010,27.7,33.8,23.9,1011.2,80,6.35,9.2,2.8,13,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,25-01-2010,27.4,33.4,24,1011.3,80,16.51,6.3,3,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,26-01-2010,26.7,32.4,23,1012,84,2.03,9,3.3,13,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,27-01-2010,27.7,33.5,23.3,1011.2,79,0,10,4.4,16.5,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,28-01-2010,28.6,33,23.5,1011.5,75,12.19,10.6,4.8,13,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,29-01-2010,27,33.4,24,1011.4,84,0,8,3.3,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,30-01-2010,28.3,34.3,24.3,1011.4,78,4.57,7.7,3.9,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,31-01-2010,26.9,33.2,24,1011.6,84,0.51,8.7,2.8,14.8,37,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,1-02-2010,28.7,34,24,1010.4,78,27.43,10.1,5.6,16.5,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,2-02-2010,29.1,33.4,24.1,1010.3,72,0,8.4,4.4,14.8,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,3-02-2010,27.9,34,25,1010.4,81,0,7.2,4.6,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,4-02-2010,27.9,35,24.8,1010.3,80,10.16,8.9,4.8,20.6,37,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,5-02-2010,26.9,32.3,24.7,1011.6,86,15.75,8.9,3.7,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,6-02-2010,28,33.3,24.5,1011.4,81,8.38,9.7,3.7,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,7-02-2010,28.2,33,24.5,1011.2,80,0.51,8.5,4.1,18.3,-,o, , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,8-02-2010,28.1,34.8,24.8,1009.9,78,1.52,8.7,4.6,16.5,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,9-02-2010,28.7,35.7,24.6,1009.7,77,0.76,8.5,3.9,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,10-02-2010,28.3,34,24.9,1010.1,82,34.8,7.7,3.5,11.1,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,11-02-2010,29.2,35.4,24.7,1010.9,75,19.3,10,4.3,14.8,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,12-02-2010,27.3,34.4,24.6,1010.9,82,0,8.4,4.3,20.6,42.4,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,13-02-2010,28.4,34.1,24.5,1009.5,78,26.42,9,4.1,14.8,-,o, , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,14-02-2010,28.8,35.3,24.7,1009.7,74,0,8.7,4.4,16.5,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,15-02-2010,28.8,33.6,24.9,1010.3,77,0,9.8,3.5,14.8,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,16-02-2010,28,34.1,25,1010.2,79,0,9.7,4.6,29.4,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,17-02-2010,26.4,31.6,24,1011.5,87,18.29,6.9,4.1,16.5,42.4,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,18-02-2010,27.7,34.2,23.7,1011.1,80,45.21,9,3,9.4,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,19-02-2010,28.1,34.5,23,1011.8,69,10.16,9.3,5,13,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,20-02-2010,28.3,34.6,23.2,1011.9,74,0,10.3,3.9,18.3,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,21-02-2010,28,33.6,23.5,1012,76,1.52,9.8,6.1,20.6,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,22-02-2010,29.3,34.2,24.9,1010.8,72,0,8.9,5,14.8,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,23-02-2010,28.2,33.3,24,1009.8,79,0,7.4,5,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,24-02-2010,29.1,33.9,24.4,1009.6,75,25.91,9,5.6,16.5,-, , , , 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,25-02-2010,28.7,32.8,24.8,1010.1,79,0,9.7,5.9,14.8,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,26-02-2010,27.5,34,24,1009.4,86,0,8.5,4.1,14.8,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,27-02-2010,28.8,33.8,24.2,1009.6,82,74.17,7.4,4.8,16.5,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,28-02-2010,28.8,35,25.4,1010.2,79,0,6.4,3.7,18.3,-, , ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,1-03-2010,28.5,34.6,25,1011.3,79,0,7.9,4.6,16.5,-,o, ,o, 
malaysia,Kuala Lumpur / Subang,ws-486470,3.11,101.55,2-03-2010,28.9,33.6,25.3,1010.3,80,0.51,8.7,3.1,11.1,-, , , , 
