country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kuantan,ws-486570,3.78,103.21,1-01-2010,25.2,29.9,23.6,1009.2,91,0,10.1,5.4,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,2-01-2010,26.3,29.6,23.6,1009.3,94,21.59,9.5,5.7,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,3-01-2010,24.9,28.4,23.8,1010,96,9.65,10.1,3.9,7.6,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,4-01-2010,24.4,27,23,1009.4,95,38.86,9.7,3.9,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,5-01-2010,27.1,30.7,23.3,1009.1,87,11.68,11.6,4.3,14.8,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,6-01-2010,26.9,31,23.4,1010.1,91,0.76,12.4,4.1,11.1,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,7-01-2010,25.6,28,24,1011.7,93,0.25,11.6,4.6,9.4,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,8-01-2010,25.6,29.2,23,1011.8,92,0,12.2,4.6,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,9-01-2010,25.8,31,22,1011.7,84,0.76,12.6,5.9,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,10-01-2010,25.9,31.7,21.6,1011.5,84,0,12.4,4.8,11.1,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,11-01-2010,26.4,31.5,21.8,1011.9,84,0,12.6,5.2,11.1,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,12-01-2010,26.4,31.6,22.3,1012.8,83,0,13,6.7,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,13-01-2010,26.1,29.6,22.7,1014.6,86,0,12.2,7.2,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,14-01-2010,24.6,28,22.9,1015.4,92,0,9,4.8,11.1,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,15-01-2010,25.7,29.7,23,1014.7,86,0.51,9.8,5.9,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,16-01-2010,25.6,30.5,22.5,1014.7,84,0,11.6,5.6,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,17-01-2010,26.8,31.4,22.4,1014.2,82,0,11.3,7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,18-01-2010,26.8,30.8,23,1012.6,83,0,12.2,5.7,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,19-01-2010,27.5,32.4,23.9,1011.1,82,0,11.7,4.1,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,20-01-2010,26.5,31.4,24,1012,90,0.51,9,4.1,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,21-01-2010,25.9,29.5,23.9,1012.3,91,14.99,11.4,4.3,11.1,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,22-01-2010,26.9,31.8,23.8,1012.8,88,3.56,12.1,5.2,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,23-01-2010,26.1,29.9,24.2,1012.8,92,0,10.5,4.8,11.1,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,24-01-2010,26.7,31.6,23,1012.4,86,20.83,12.6,6.5,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,25-01-2010,26.6,31,22.8,1012.5,85,0,11.4,6.7,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,26-01-2010,26.2,30,23.3,1012.5,89,0.51,11.7,7.8,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,27-01-2010,26.3,30.5,24,1012.5,87,11.43,10.8,6.9,18.3,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,28-01-2010,26.4,30.6,23,1012.4,86,5.08,11.9,6.3,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,29-01-2010,26.8,31,23.2,1012.4,85,0.25,12.2,6.9,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,30-01-2010,26.2,30,23.6,1012.5,87,0,11.9,5.2,13,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,31-01-2010,26,31.3,22,1012.6,86,2.29,12.2,5.9,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,1-02-2010,26.2,32,21,1011.5,82,0,13.5,5.9,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,2-02-2010,27.3,33.2,20.9,1011,82,0,13,5.4,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,3-02-2010,27.2,31.5,21,1011.2,87,0,12.6,6.5,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,4-02-2010,27.1,32.2,24,1011.1,87,0,12.6,5.9,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,5-02-2010,27.3,32.3,23.9,1011.9,86,0,12.9,6.7,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,6-02-2010,27.7,32.6,23.5,1012.4,86,0,13,6.1,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,7-02-2010,26.9,32,23,1012.1,85,0,12.7,6.1,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,8-02-2010,27.4,32.3,23.1,1011,85,0,12.9,6.3,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,9-02-2010,27.6,32.4,23.3,1010.9,85,0,12.7,6.3,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,10-02-2010,27.3,32.4,24,1011.3,86,0,12.7,6.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,11-02-2010,27.1,32.3,23,1012.2,85,0,12.6,6.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,12-02-2010,27.5,33.2,23,1012,83,0,13,7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,13-02-2010,27.6,32.5,23.1,1010.7,82,0,13.4,7.6,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,14-02-2010,27.2,32.5,23,1010.8,82,0,12.6,6.9,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,15-02-2010,27.4,32.6,22.8,1011.4,83,0,12.9,7.2,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,16-02-2010,28.2,33.2,23.3,1011.3,82,0,12.4,8.1,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,17-02-2010,27.5,32.2,24.9,1011.8,88,0.51,12.6,7.6,18.3,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,18-02-2010,26.7,32.1,23,1012.5,84,8.89,12.1,8.9,24.1,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,19-02-2010,26.2,32.8,22.8,1012.8,85,3.56,13.5,5.6,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,20-02-2010,27.3,31.6,23,1012.8,85,0,12.9,6.7,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,21-02-2010,27.6,31.8,23.5,1012.5,85,0,12.2,6.9,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,22-02-2010,27.1,31.5,23,1011.7,86,0,12.7,6.3,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,23-02-2010,27.9,32.9,23.1,1010.6,82,0,12.6,6.3,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,24-02-2010,27.7,32.4,23.5,1010.1,84,0,12.7,5.4,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,25-02-2010,28.2,32.6,24.4,1010.7,86,0,12.9,5.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,26-02-2010,28.6,34.6,24.5,1009.9,82,0,13.2,6.1,20.6,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,27-02-2010,28.6,33.2,25,1010.1,82,0,12.9,5.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,28-02-2010,28.7,32.9,25.9,1010.9,83,0,13.4,6.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,1-03-2010,28.4,33.2,25,1011.8,84,0,12.4,6.1,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,2-03-2010,28.8,33.9,24.7,1010.7,83,0,12.9,5.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,3-03-2010,28.3,33,25,1010.6,83,0,12.6,5.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,4-03-2010,28.6,35.2,24,1010.1,81,0,12.9,5,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,5-03-2010,28.2,34.2,23,1011,79,0,11.4,6.1,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,6-03-2010,28.4,35.5,23.2,1011.4,80,0,11.4,5.9,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,7-03-2010,28.2,34.1,23.4,1011.3,81,0,11.6,7,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,8-03-2010,28.1,34,23.6,1011.8,78,0,12.4,6.9,20.6,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,9-03-2010,28.8,34.4,24,1012.7,80,0,12.7,7.2,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,10-03-2010,28.1,33.8,24,1014.1,78,0,10.6,8.7,20.6,38.9,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,11-03-2010,27.1,32,24,1014.8,88,3.05,11.6,7,22.2,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,12-03-2010,27.5,32.6,24.1,1013.7,87,0.51,11.7,8.5,25.9,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,13-03-2010,27,32,24.7,1012.1,90,0.25,10.9,5.2,9.4,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,14-03-2010,28,33,24.7,1010.4,86,8.64,11.7,6.3,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,15-03-2010,28.8,34.4,24.7,1010.3,81,6.6,12.9,5.7,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,16-03-2010,27.8,33,24,1011,75,0,13.2,8.3,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,17-03-2010,27.9,32.5,23.8,1012.9,76,0,12.4,8,20.6,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,18-03-2010,27.6,32.3,24,1012.1,82,15.49,10.5,9.1,18.3,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,19-03-2010,26.6,31,24,1010.5,87,21.84,10.6,8.7,16.5,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,20-03-2010,24.7,26,23.8,1010.6,96,17.78,7.4,2.6,5.4,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,21-03-2010,26.7,31.4,23.7,1009.3,87,16.26,11.7,4.6,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,22-03-2010,28.1,32.9,23.7,1008,83,0.51,12.4,5.7,18.3,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,23-03-2010,27.1,31.5,24,1008,87,0,10.5,4.3,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,24-03-2010,28.6,33.2,24,1008,84,0.25,11.9,5.4,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,25-03-2010,29.1,33.3,24.2,1008.5,82,0,12.6,5.9,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,26-03-2010,28.6,34,24,1010.2,78,0,12.2,5.9,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,27-03-2010,28.1,33.7,24,1011.1,78,0,13.2,6.5,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,28-03-2010,28.1,33.2,24,1010.8,79,0,12.7,6.3,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,29-03-2010,27.8,33.1,24,1011.1,80,0,12.4,6.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,30-03-2010,27.9,32.1,24.4,1011.6,83,0,11.9,3.5,11.1,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,31-03-2010,28.5,33.7,24,1010.7,78,0,11.4,6.3,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,1-04-2010,27.9,31.8,24.2,1010.3,83,0.25,12.1,4.4,14.8,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,2-04-2010,28.5,33.6,24.4,1009.6,81,1.52,13,6.3,18.3,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,3-04-2010,28.4,33.4,24.8,1010.9,82,0.51,11.3,6.5,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,4-04-2010,26,32,23,1010.9,90,7.37,10.1,4.3,11.1,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,5-04-2010,28.2,33.6,23.1,1009.4,83,25.15,12.9,4.8,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,6-04-2010,28.8,34,23.6,1010.1,83,0.51,12.1,5.4,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,7-04-2010,29.2,33.6,25.2,1011.1,81,0.51,12.2,5.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,8-04-2010,28.6,33.6,25,1011.1,83,0,12.2,5.6,14.8,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,9-04-2010,28.7,34.1,25,1009.4,80,0,12.4,6.9,20.6,-, , ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,10-04-2010,29.3,34,24.9,1008.5,80,0,12.7,3.9,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,11-04-2010,29.8,33.4,25.4,1008.2,82,0,12.4,6.5,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,12-04-2010,29.3,33.5,26,1008.3,82,0,10.8,6.1,18.3,-, , ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,13-04-2010,29.1,33.9,24.9,1009.1,80,0,12.4,6.3,18.3,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,14-04-2010,29.6,35.2,24.6,1009.4,72,0,13,6.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,15-04-2010,29.4,35.4,24.6,1009.8,78,0,13.2,5.6,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,16-04-2010,29.4,34.3,25,1010.6,78,0,13.2,5.9,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,17-04-2010,29.3,35,25,1010.8,79,0,12.2,7.6,16.5,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,18-04-2010,27.1,32.9,25,1010.5,90,4.32,10.9,3.9,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,19-04-2010,28.9,34.2,25,1009.1,82,35.05,11.6,6.3,14.8,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,20-04-2010,27.5,33.2,24.9,1008.9,87,7.87,11.7,3.5,13,31.3,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,21-04-2010,27.2,33,23.8,1009.4,87,5.08,11.3,4.4,14.8,29.4,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,22-04-2010,29.4,34.3,23.7,1009.4,80,8.89,12.6,2.8,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,23-04-2010,29.7,34.4,24.5,1010.1,81,0,12.7,4.3,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,24-04-2010,29.5,35,26,1009.8,78,0,13.2,5,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,25-04-2010,28.9,33.6,25.6,1010.1,85,0,11.4,8.5,22.2,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,26-04-2010,26.2,30.2,24,1012,94,12.19,9.3,3.9,9.4,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,27-04-2010,27.5,34,23.8,1012.4,85,16,10.1,5.2,16.5,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,28-04-2010,28.9,33,24.5,1011.3,84,1.52,11.4,4.3,13,-, , ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,29-04-2010,28.2,32,25.1,1011.1,87,0,10.1,4.3,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,30-04-2010,28.9,33.5,25,1010.3,83,0.51,13.2,6.7,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,1-05-2010,28.6,33,25,1010.1,82,0,12.6,4.3,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,2-05-2010,28.2,33,23.9,1009,79,0,12.2,5.6,16.5,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,3-05-2010,29.2,34,23.6,1007.6,80,0,12.6,4.4,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,4-05-2010,29.3,34.1,24.6,1006.8,82,0,12.9,5.7,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,5-05-2010,28.3,33.3,25,1007,86,0,10.5,4.8,16.5,-,o, , , 
malaysia,Kuantan,ws-486570,3.78,103.21,6-05-2010,29.4,34.2,25,1006.6,83,10.41,11.3,5.2,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,7-05-2010,29.8,35.1,25.6,1006.2,82,0,12.1,4.6,14.8,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,8-05-2010,29.8,34.7,26,1005.5,82,0,13,5,18.3,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,9-05-2010,27.6,34.3,24,1006.1,87,0,11.9,3.3,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,10-05-2010,29.3,34.2,24.1,1006.1,83,0.51,11.3,3.9,13,-, , , , 
malaysia,Kuantan,ws-486570,3.78,103.21,11-05-2010,29.6,34,24.8,1006.5,85,0,11.9,5.6,13,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,12-05-2010,29.2,33.1,25.9,1006.8,85,1.52,10.1,5.4,31.3,-,o, ,o, 
malaysia,Kuantan,ws-486570,3.78,103.21,13-05-2010,28.1,32.3,25.7,1006.8,90,0.25,8.4,4.3,11.1,-,o, ,o, 
