country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kuching,ws-964130,1.48,110.33,1-01-2010,26.5,31.4,23.3,-,87,5.59,10.6,5.9,20.6,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,2-01-2010,26.7,31.4,24,-,87,11.68,10.1,4.4,9.4,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,3-01-2010,26.7,33,23.8,-,88,0.25,8,5.9,16.5,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,4-01-2010,25.6,30,23,-,89,103.12,8.9,6.9,14.8,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,5-01-2010,24.2,30,22,-,92,51.05,8.4,6.1,27.8,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,6-01-2010,26.9,32,22,-,79,49.28,11.9,5.2,16.5,-, , , , 
malaysia,Kuching,ws-964130,1.48,110.33,7-01-2010,24.7,29.7,22.7,-,93,0,7.9,4.6,13,-,o, ,o,o
malaysia,Kuching,ws-964130,1.48,110.33,8-01-2010,26.7,30.3,22.9,-,86,40.39,10.5,6.7,18.3,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,9-01-2010,26.4,31,23,-,86,15.24,10.9,7.6,16.5,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,10-01-2010,26.6,32,23.1,-,84,0,10.6,5.7,16.5,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,11-01-2010,27.2,32,23.8,-,84,0,11.4,6.3,16.5,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,12-01-2010,26.8,31,24,-,86,0.25,10.6,8.5,16.5,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,13-01-2010,24.1,26.7,23,-,98,38.1,5.8,7.2,20.6,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,14-01-2010,22.7,25.6,21,-,98,189.48,4.3,6.3,20.6,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,15-01-2010,25.2,29.4,21.3,-,93,128.27,7.4,6.5,14.8,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,16-01-2010,25.9,29,23.4,-,87,49.53,10.3,8.1,18.3,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,17-01-2010,24.8,28.9,23,-,94,11.43,8.5,8.3,20.6,38.9,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,18-01-2010,24.1,25.5,23,-,97,59.94,6.3,5.7,16.5,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,19-01-2010,26.3,30.6,23,-,84,102.36,11.1,6.1,13,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,20-01-2010,27.2,32.7,22.7,-,81,0.25,11.6,6.9,14.8,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,21-01-2010,27.1,31.4,23.1,-,84,1.52,11.6,6.5,11.1,-, , ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,22-01-2010,26.3,30.7,23.7,-,88,0,11.4,6.7,14.8,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,23-01-2010,26.9,30.4,23.8,-,85,0.76,11.6,6.7,14.8,-, , , , 
malaysia,Kuching,ws-964130,1.48,110.33,24-01-2010,26.7,31.2,24,-,87,0,10.8,8,18.3,-,o, , , 
malaysia,Kuching,ws-964130,1.48,110.33,25-01-2010,25.7,29,23.9,-,92,3.56,9,5.9,20.6,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,26-01-2010,26.8,31,23.6,-,84,7.87,10.8,8,16.5,-,o, ,o, 
malaysia,Kuching,ws-964130,1.48,110.33,27-01-2010,25.6,29.5,23.4,-,90,0,9.8,7.8,16.5,-,o, ,o, 
