country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Kudat,ws-964770,6.91,116.83,1-01-2010,27.4,29,25,-,85,-,11.1,16.7,24.1,40.7,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,2-01-2010,27.4,29,26,-,86,0,11.3,12.8,20.6,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,3-01-2010,27.4,30,25,-,87,0,11.3,7.6,13,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,4-01-2010,27.6,30,24,-,86,0,11.3,8.3,16.5,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,5-01-2010,27.3,30,23,-,86,0,11.3,8.1,16.5,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,6-01-2010,27.4,30,24,-,82,0,11.3,8.5,14.8,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,7-01-2010,26.3,30,23,-,87,-,11.3,7.2,18.3,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,8-01-2010,27,29,24,-,84,-,11.3,6.9,14.8,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,9-01-2010,27.1,30,25,-,84,-,11.3,8.3,13,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,10-01-2010,26.2,29,23,-,89,0,11.3,6.5,13,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,11-01-2010,25.4,29,23,-,90,0,11.3,5,13,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,12-01-2010,26.8,29,25,-,85,0,11.3,10.2,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,13-01-2010,27.1,29,24,-,83,-,11.1,16.3,22.2,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,14-01-2010,26.2,27,24,-,87,-,10.6,18,27.8,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,15-01-2010,26.4,28,25,-,84,-,10.8,20.7,25.9,44.3,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,16-01-2010,25.8,27,24,-,90,-,10.5,15,29.4,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,17-01-2010,24.8,26,24,-,94,-,10,12.2,20.6,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,18-01-2010,26.1,28,25,-,92,-,10.9,8.5,18.3,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,19-01-2010,26.3,31,23,-,89,-,11.3,6.9,13,-,o, ,o, 
malaysia,Kudat,ws-964770,6.91,116.83,20-01-2010,25.7,28,24,-,91,-,11.3,7.8,14.8,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,21-01-2010,26.7,30,23,-,87,0,11.3,9.3,16.5,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,22-01-2010,26.6,29,25,-,85,-,11.3,11.7,18.3,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,23-01-2010,26.9,29,25,-,84,0,11.3,11.3,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,24-01-2010,27.1,29,26,-,86,-,11.1,13.3,16.5,-,o, , , 
malaysia,Kudat,ws-964770,6.91,116.83,25-01-2010,26.8,29,25,-,84,0,11.3,13.3,24.1,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,26-01-2010,27.6,29,26,-,79,0,11.3,14.3,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,27-01-2010,26.8,29,25,-,82,0,11.3,15.7,24.1,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,28-01-2010,27.1,29,25,-,81,0,11.3,12.6,20.6,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,29-01-2010,27.1,29,25,-,80,0,11.3,12.4,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,30-01-2010,27.2,29,26,-,83,0,11.3,11.3,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,31-01-2010,27.1,29,25,-,85,-,11.3,11.3,18.3,-,o, ,o, 
malaysia,Kudat,ws-964770,6.91,116.83,1-02-2010,27.3,30,26,-,83,0,11.3,13,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,2-02-2010,27.2,30,25,-,78,0,11.3,13.9,22.2,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,3-02-2010,27.5,30,26,-,81,0,11.3,10.6,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,4-02-2010,27.3,30,25,-,81,0,11.3,13,22.2,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,5-02-2010,27.5,30,26,-,83,0,11.3,12.4,22.2,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,6-02-2010,28,31,26,-,78,0,11.3,12.8,18.3,-, , , , 
malaysia,Kudat,ws-964770,6.91,116.83,7-02-2010,27.6,30,26,-,77,0,11.3,13,18.3,-, , , , 
