country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Labuan,ws-964650,5.3,115.23,1-01-2010,28,31.4,25,1008.5,85,0,14.6,8.1,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,2-01-2010,27.6,30.5,25.7,1009.5,90,0,14.8,4.6,13,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,3-01-2010,28.2,30.5,25.8,1009.6,87,1.02,15.1,10.6,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,4-01-2010,28.6,30.8,26.6,1008.9,84,1.02,14.8,10.7,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,5-01-2010,27.3,31,24.7,1009.8,88,0,14.2,5.6,9.4,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,6-01-2010,28.3,31.1,24.7,1010.1,84,0,15.3,8.7,16.5,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,7-01-2010,27.8,29.6,25,1010.7,84,0,14,13.9,20.6,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,8-01-2010,27.6,30,24,1010.3,83,2.03,14.6,13.5,20.6,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,9-01-2010,27.1,29.3,23.9,1009.9,87,6.1,13.7,10.7,16.5,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,10-01-2010,27.6,30,24,1010.1,86,3.05,15,10,16.5,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,11-01-2010,26.6,29.5,23.8,1011.1,90,39.12,14.6,5.7,11.1,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,12-01-2010,26.3,30.1,24,1011.8,89,0.51,12.9,5.7,11.1,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,13-01-2010,26.4,28,23.9,1011.8,90,23.11,15.1,15.9,25.9,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,14-01-2010,25.4,28,23.8,1012.7,94,7.11,10.5,13,24.1,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,15-01-2010,24.6,28.1,22.8,1012.5,94,32,9.2,7.2,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,16-01-2010,24.9,27,22.5,1012.3,93,100.84,11.4,6.9,13,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,17-01-2010,25.6,28.1,22.9,1010.9,93,6.1,11.3,5.7,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,18-01-2010,25.9,29,24,1009.7,94,34.04,14.3,4.8,13,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,19-01-2010,26.1,28,24,1011.5,91,2.03,15.4,3,9.4,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,20-01-2010,26.9,29.5,24.2,1012.8,90,0,14.3,5.7,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,21-01-2010,27.4,31.1,24.5,1012.2,88,0,15.4,4.3,9.4,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,22-01-2010,27.4,29.3,24.5,1012.4,86,0,15.4,12,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,23-01-2010,27.6,31.2,24.9,1012,86,0,14.6,5.2,11.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,24-01-2010,28.4,31.6,24.9,1011.3,83,0,14.8,11.3,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,25-01-2010,28,30.1,26,1011.1,82,0,15.4,14.1,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,26-01-2010,28.2,30,26.1,1011.4,78,0,16.7,16.3,22.2,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,27-01-2010,27.8,30.2,25,1011.5,80,0,15.4,12.4,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,28-01-2010,27.8,30.3,25,1010.9,83,0,15.4,9.1,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,29-01-2010,27.8,30,25.2,1011.3,83,0,15.4,14.4,24.1,40.7, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,30-01-2010,27.6,30,25.6,1011.3,85,0,15.9,9.6,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,31-01-2010,27.8,31.8,25.4,1011.7,86,0,14.8,9.1,16.5,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,1-02-2010,28.1,31.5,25.3,1010.6,85,0,15.1,6.7,11.1,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,2-02-2010,27.6,30.6,25,1010.3,87,0,15.6,10.4,18.3,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,3-02-2010,27.2,31.1,24.5,1011,87,0,15.4,5,11.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,4-02-2010,28.1,31.7,24.4,1010.5,82,0,14.8,10.2,20.6,33.5,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,5-02-2010,28.7,33,24.6,1010.7,79,2.03,14.8,12.6,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,6-02-2010,27.9,33.3,24.9,1012,82,0,15.4,5.9,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,7-02-2010,28.3,32.3,24.5,1011.7,77,0,14.8,11.7,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,8-02-2010,28.8,33.4,26.3,1010.9,72,0,14.2,14.6,22.2,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,9-02-2010,28.4,34.2,25,1010.5,72,0,14.6,11.3,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,10-02-2010,29,34.3,24.8,1010.8,72,0,15.4,15.7,22.2,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,11-02-2010,28.5,32.4,25.7,1011.1,76,0,15.4,12.6,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,12-02-2010,28.1,32,25.7,1011,84,0,13.7,11.3,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,13-02-2010,28.1,32.4,25.3,1009.7,78,0,14.3,15.6,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,14-02-2010,28.2,32.2,25.6,1009.3,78,0,13.8,9.4,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,15-02-2010,28.6,33.2,25.4,1010.8,81,0,15.8,13.5,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,16-02-2010,28.3,32.3,26,1010.6,84,0,14.3,15,25.9,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,17-02-2010,27.7,30.6,26,1010.8,84,0,15.4,20,25.9,42.4, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,18-02-2010,27.3,29.8,25.9,1011.4,86,0,14.6,19.4,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,19-02-2010,27.3,30.4,25.8,1011.4,85,0,15.9,17.8,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,20-02-2010,27.2,30.2,25,1012,84,0,15.4,14.4,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,21-02-2010,27.6,30.2,24.8,1012.2,83,0,14.6,10.4,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,22-02-2010,27.5,30.7,26,1011.7,84,0,15.1,12.2,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,23-02-2010,27.4,30.2,25.8,1010.7,88,0,14.2,8.7,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,24-02-2010,27.8,31.7,25,1010,87,0,13.5,6.7,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,25-02-2010,28.3,33.3,25,1010.8,86,0,12.7,4.6,13,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,26-02-2010,28,32.2,25,1009.8,87,0,14.8,5.7,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,27-02-2010,28.6,32,24.7,1010.1,85,0,14.8,7.8,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,28-02-2010,28.3,33.3,24.5,1010.8,83,0,12.9,8.3,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,1-03-2010,27.4,32.6,23.8,1011.5,84,0,12.1,6.7,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,2-03-2010,27.6,32.2,23.8,1011.1,84,0,13.2,5.7,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,3-03-2010,27.7,30,24.3,1010.1,86,0,12.4,6.9,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,4-03-2010,28.6,31.2,25.2,1010.1,81,0,13.4,7.2,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,5-03-2010,28.6,33.7,25,1010.5,80,0,13.2,6.5,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,6-03-2010,29,34.5,25.1,1011.1,83,0,13,6.1,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,7-03-2010,29.2,33.7,26,1011.1,84,0,12.2,8.3,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,8-03-2010,29.1,34,26.3,1010.7,81,0,17.5,7.4,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,9-03-2010,28.9,32.5,26.3,1012.4,81,1.02,12.9,16.3,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,10-03-2010,28.1,30.9,25,1012.9,79,0,11.7,16.1,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,11-03-2010,28.8,33.2,25,1013.4,76,0,11.7,12.4,22.2,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,12-03-2010,28.7,31.9,26,1013.1,81,0,11.7,8.3,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,13-03-2010,29.2,33.8,26,1011.4,79,0,11.4,10.7,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,14-03-2010,28.3,33,25,1009.8,81,0,12.7,6.9,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,15-03-2010,28.6,32.8,25,1009.2,80,0,11.4,7.8,16.5,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,16-03-2010,28.9,32.4,25.2,1010.1,79,0,12.2,13.1,22.2,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,17-03-2010,28.8,32.9,26.5,1011.7,76,0,13.2,13.7,27.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,18-03-2010,28.4,31.8,26.7,1011.1,81,0,10.6,15.7,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,19-03-2010,28.4,32.1,26.4,1009.3,82,0,8.9,12,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,20-03-2010,28.2,32.2,25,1009.1,83,0,9,8.3,24.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,21-03-2010,28.4,31.6,24.9,1008.5,84,0,10.1,10.2,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,22-03-2010,27.6,31.2,24,1007.8,88,0,10.5,8.7,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,23-03-2010,27.8,32.5,24.2,1007.6,86,12.95,13.4,7,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,24-03-2010,28.1,32.5,25,1008.2,84,1.02,15.4,4.3,11.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,25-03-2010,28.1,31.4,25.3,1008.9,83,0,13.7,8.9,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,26-03-2010,28.3,31.3,26,1009.6,80,4.06,14.8,14.1,20.6,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,27-03-2010,27.4,31.7,25.8,1010.5,87,0,12.6,5.7,13,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,28-03-2010,28.1,31.5,24.9,1009.9,82,2.03,13.2,11.7,22.2,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,29-03-2010,26.1,29.4,24,1011,91,24.89,12.9,5.7,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,30-03-2010,28.4,32,24.2,1010.9,85,0.76,14.6,7.2,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,31-03-2010,27.9,32,24.7,1011.1,85,0,14.5,5.9,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,1-04-2010,27.9,31.6,24.5,1009.9,88,4.06,15.1,8.5,20.6,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,2-04-2010,28.6,31.8,24.4,1009.8,85,32,14.5,8.5,18.3,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,3-04-2010,28.9,32.4,24.3,1009.7,83,0,14.2,8.5,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,4-04-2010,27.6,31.2,25.7,1010.4,89,0,13.8,6.5,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,5-04-2010,28.6,31.3,25.7,1009.6,84,3.05,15.6,7.4,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,6-04-2010,28.5,31.2,25.9,1010.1,85,0,15.4,6.7,14.8,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,7-04-2010,27.7,31.8,24,1011.5,88,3.05,12.9,6.5,11.1,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,8-04-2010,27.9,31.5,24.3,1011.1,87,7.11,13.5,5.7,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,9-04-2010,27.9,31.4,25.1,1009.8,86,29.97,14.3,4.4,9.4,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,10-04-2010,28.6,32,25.2,1008.3,82,0,15.4,6.9,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,11-04-2010,28.3,32.6,26,1008.9,83,0,14.3,8.1,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,12-04-2010,29.7,33.9,26,1008.9,75,3.05,14.8,6.1,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,13-04-2010,29.6,33.4,27,1009.3,84,0,15.4,7.6,13,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,14-04-2010,29.1,32.5,26,1009.1,84,0,14.8,5.9,13,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,15-04-2010,28.6,32.3,25.7,1009.3,85,4.06,14.6,7,18.3,27.8, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,16-04-2010,26.9,31.2,24.9,1010.8,92,0,12.7,6.1,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,17-04-2010,27.4,31,24.6,1011.3,89,22.1,13.5,5.9,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,18-04-2010,28.6,31,25.3,1009.6,83,3.05,15.4,7.8,18.3,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,19-04-2010,28.9,32.7,25.9,1009,83,0,15,4.8,11.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,20-04-2010,29.4,32.7,25.7,1008.9,81,0,14.6,6.5,13,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,21-04-2010,29.7,33,26.9,1009,82,0,15.4,6.3,11.1,-, , ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,22-04-2010,29,33,26.8,1009.7,85,0,14,6.9,16.5,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,23-04-2010,29.2,32.9,25.5,1010.1,85,10.92,14,6.9,13,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,24-04-2010,28.1,31.6,25.3,1010.3,89,22.1,12.9,5.9,13,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,25-04-2010,29.1,32,25.5,1010.4,83,7.11,15.4,6.3,11.1,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,26-04-2010,30,32.9,26.2,1010.7,79,0,15.4,8.5,14.8,-, , , , 
malaysia,Labuan,ws-964650,5.3,115.23,27-04-2010,28.3,31,26,1011.4,86,0,14.5,5.6,14.8,-,o, ,o, 
malaysia,Labuan,ws-964650,5.3,115.23,28-04-2010,26.8,29.5,25,1012,91,3.05,13.7,3.7,11.1,-,o, , , 
malaysia,Labuan,ws-964650,5.3,115.23,29-04-2010,28,31.2,25,1011.6,88,25.91,14,2.2,9.4,-,o, ,o, 
