country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Langkawi,ws-486000,6.33,99.73,1-01-2010,29.1,32,26,-,65,0,11.3,12.2,20.6,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,2-01-2010,28.3,32,27,-,73,-,10.9,12,16.5,-,o, , , 
malaysia,Langkawi,ws-486000,6.33,99.73,3-01-2010,27.1,30,25,-,82,-,11.1,6.3,18.3,-,o, , , 
malaysia,Langkawi,ws-486000,6.33,99.73,4-01-2010,27.4,32,25,-,81,-,10.5,7.8,14.8,-,o, ,o, 
malaysia,Langkawi,ws-486000,6.33,99.73,5-01-2010,27.9,31,25,-,80,-,11.1,6.7,14.8,-,o, ,o, 
malaysia,Langkawi,ws-486000,6.33,99.73,6-01-2010,28.1,31,25,-,80,-,11.1,6.1,22.2,-,o, ,o, 
malaysia,Langkawi,ws-486000,6.33,99.73,7-01-2010,27.6,31,24,-,79,-,11.1,7,11.1,-,o, , , 
malaysia,Langkawi,ws-486000,6.33,99.73,8-01-2010,28.4,32,26,-,72,0,11.3,7.6,13,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,9-01-2010,28.7,32,25,-,66,0,10.9,8.7,14.8,29.4, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,10-01-2010,28.1,32,24,-,71,0,10.6,5.6,11.1,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,11-01-2010,28.4,32,25,-,70,0,10.8,6.5,11.1,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,12-01-2010,28.6,33,25,-,66,0,11.3,9.1,14.8,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,13-01-2010,28.8,32,25,-,64,0,11.3,8.5,16.5,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,14-01-2010,28.8,33,26,-,59,0,11.3,11.7,22.2,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,15-01-2010,28.4,33,25,-,58,0,11.3,13.3,20.6,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,16-01-2010,28.5,33,26,-,59,0,11.3,13.9,18.3,-, , , , 
malaysia,Langkawi,ws-486000,6.33,99.73,17-01-2010,28.7,33,26,-,60,0,10.9,12.2,18.3,-, , , , 
