country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,MERSING,ws-486021,2.45,103.83,1-01-2010,25.8,28,24,-,91,-,10.3,9.4,16.5,-,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,2-01-2010,26.7,28,23,-,90,-,11.1,12,22.2,-,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,3-01-2010,26.7,30,23,-,89,0,11.1,10.9,18.3,40.7, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,4-01-2010,24.1,26,23,-,92,-,11.3,7.8,11.1,-,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,5-01-2010,25.4,29,23,-,93,-,11.3,6.7,11.1,-,o, ,o, 
malaysia,MERSING,ws-486021,2.45,103.83,6-01-2010,26.6,30,23,-,89,-,10.8,8.7,14.8,-,o, ,o, 
malaysia,MERSING,ws-486021,2.45,103.83,7-01-2010,25.3,27,22,-,90,-,11.1,11.7,20.6,-,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,8-01-2010,26.7,29,25,-,83,-,11.3,16.7,24.1,42.4,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,9-01-2010,26.5,29,24,-,77,0,11.3,14.4,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,10-01-2010,26.5,30,22,-,79,-,11.3,11.5,16.5,-,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,11-01-2010,26.4,30,23,-,84,0,11.3,11.5,16.5,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,12-01-2010,27.4,29,26,-,76,0,11.3,18,24.1,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,13-01-2010,27.1,29,26,-,76,0,11.3,18.7,22.2,38.9, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,14-01-2010,27,29,26,-,72,0,10.8,21.9,25.9,44.3, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,15-01-2010,26.7,29,25,-,74,0,11.3,20.6,24.1,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,16-01-2010,26.9,29,26,-,72,0,11.3,18.1,22.2,38.9, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,17-01-2010,26.9,29,26,-,76,0,11.3,18.1,25.9,44.3, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,18-01-2010,26.3,28,24,-,81,-,11.1,16.1,25.9,44.3,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,19-01-2010,26.3,30,23,-,84,0,11.3,8.1,16.5,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,20-01-2010,25.9,30,23,-,88,-,11.3,6.7,14.8,-,o, ,o, 
malaysia,MERSING,ws-486021,2.45,103.83,21-01-2010,26.6,30,24,-,85,0,11.3,5.4,13,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,22-01-2010,27,29,24,-,82,0,11.3,10.2,14.8,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,23-01-2010,27.7,31,25,-,78,0,11.3,10.7,14.8,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,24-01-2010,27.3,30,26,-,76,0,11.3,16.5,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,25-01-2010,27.4,30,26,-,78,0,11.3,14.6,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,26-01-2010,27.9,30,26,-,78,0,11.3,14.6,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,27-01-2010,27.1,29,26,-,80,-,11.3,17.6,25.9,38.9,o, , , 
malaysia,MERSING,ws-486021,2.45,103.83,28-01-2010,27.7,30,26,-,77,0,11.3,15.6,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,29-01-2010,27.6,30,26,-,77,0,11.3,17.6,22.2,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,30-01-2010,27.8,30,26,-,76,0,11.3,14.4,16.5,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,31-01-2010,27.5,30,26,-,75,0,11.3,14.4,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,1-02-2010,26.2,30,22,-,77,0,11.3,13.1,20.6,38.9, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,2-02-2010,27,30,22,-,82,0,11.3,10.4,16.5,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,3-02-2010,27.9,31,25,-,78,0,11.3,11.7,14.8,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,4-02-2010,28.1,31,26,-,77,0,11.3,13.3,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,5-02-2010,27.6,30,24,-,78,0,11.3,13.3,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,6-02-2010,27.7,31,24,-,78,0,11.3,12.6,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,7-02-2010,27.8,31,26,-,76,0,11.3,13.5,22.2,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,8-02-2010,28.2,32,26,-,77,0,11.3,13.5,16.5,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,9-02-2010,28.3,31,26,-,79,0,11.3,13.9,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,10-02-2010,28.1,31,27,-,79,0,11.3,14.3,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,11-02-2010,28.2,31,26,-,75,0,11.3,15.2,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,12-02-2010,28.3,31,26,-,76,0,11.3,15.4,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,13-02-2010,28.4,31,27,-,75,0,11.3,16.9,20.6,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,14-02-2010,28.2,31,26,-,74,0,11.3,14.1,18.3,-, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,15-02-2010,27.9,30,27,-,73,0,11.3,16.3,22.2,37, , , , 
malaysia,MERSING,ws-486021,2.45,103.83,16-02-2010,27.7,31,24,-,79,-,10,16.5,37,-,o, , , 
