country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Malacca,ws-486650,2.26,102.25,1-01-2010,27.2,32,24,1009.1,78,0,11.1,10,20.6,-,o, , , 
malaysia,Malacca,ws-486650,2.26,102.25,2-01-2010,26.4,29.8,23.6,1009.5,88,0,11.1,8.9,20.6,-,o, , , 
malaysia,Malacca,ws-486650,2.26,102.25,3-01-2010,27.6,33.6,23.6,1010,81,1.02,11.3,9.6,14.8,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,4-01-2010,27,31.4,23.5,1009,81,18.29,12.7,7,13,-,o, , , 
malaysia,Malacca,ws-486650,2.26,102.25,5-01-2010,27.4,32.9,23.6,1009.1,79,0,12.4,8.7,13,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,6-01-2010,28.1,32.3,23,1010,79,0,11.1,9.3,18.3,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,7-01-2010,27.1,31.6,23.3,1011.3,82,24.64,11.7,12.6,20.6,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,8-01-2010,25.9,31.2,23.5,1011.5,86,1.52,10.8,12,20.6,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,9-01-2010,26.9,31.2,23.6,1011.4,75,15.49,11.1,13,22.2,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,10-01-2010,26.9,31.6,23,1011.5,76,0,12.1,8,16.5,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,11-01-2010,27.1,32.1,23.2,1012,79,0,11.6,7.6,13,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,12-01-2010,27.8,32.5,23.6,1012.6,73,0,12.1,13.3,20.6,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,13-01-2010,26.8,30.1,24,1014.2,76,0,12.2,13.9,25.9,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,14-01-2010,26.6,31,23.8,1014.8,75,0,12.1,19.8,29.4,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,15-01-2010,27,31.1,23.8,1014.2,71,0,10.3,18.3,33.5,51.9,o, , , 
malaysia,Malacca,ws-486650,2.26,102.25,16-01-2010,26.9,31.6,23,1014.3,70,0,11.1,13.9,25.9,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,17-01-2010,27.3,31.8,22.8,1014.1,72,0,11.6,9.6,18.3,-, , , , 
malaysia,Malacca,ws-486650,2.26,102.25,18-01-2010,27.7,32.3,23.4,1012.7,72,0,11.7,9.6,18.3,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,19-01-2010,27.1,31.4,23.9,1011.7,82,3.56,9.5,5.4,11.1,-,o, , , 
malaysia,Malacca,ws-486650,2.26,102.25,20-01-2010,27.7,31.8,24.5,1012,81,0,9.5,7.2,13,-,o, ,o, 
malaysia,Malacca,ws-486650,2.26,102.25,21-01-2010,26.7,32.6,24,1012.1,83,0.51,10,9.4,18.3,31.3, , ,o, 
