country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Miri,ws-964490,4.33,113.98,1-01-2010,26.9,30,23.6,1008.4,85,21.84,14.5,7.8,14.8,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,2-01-2010,26.7,30.1,23.5,1009.4,84,11.94,15,9.1,16.5,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,3-01-2010,26.9,30.4,23.3,1009.5,85,0,14.8,4.8,11.1,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,4-01-2010,27.3,31.1,23,1008.9,83,0,13.5,7,16.5,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,5-01-2010,25.7,29.1,23.2,1010.1,88,27.69,14.5,5.6,13,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,6-01-2010,27.1,31.3,23.6,1010,82,0.51,15,6.5,14.8,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,7-01-2010,26.9,31.5,23.9,1010.6,80,0,14.5,8.5,18.3,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,8-01-2010,26.3,31.3,23,1010.1,83,0,13.8,9.8,25.9,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,9-01-2010,26.8,31.5,22.9,1009.7,79,0,15.1,8.7,20.6,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,10-01-2010,26.6,30.6,23,1010.1,84,0,14.8,8.9,16.5,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,11-01-2010,26.5,30,23.4,1011.1,84,1.78,14,6.1,11.1,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,12-01-2010,26.1,30.1,23.6,1011.8,84,0,14.2,7.6,14.8,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,13-01-2010,25.3,28.2,23.4,1011.8,91,1.52,11.4,11.1,25.9,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,14-01-2010,23.9,26.5,23,1013.1,95,48.51,7.7,9.1,16.5,-,o, ,o, 
malaysia,Miri,ws-964490,4.33,113.98,15-01-2010,22.3,25,21,1013.3,94,94.74,8,9.8,18.3,33.5,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,16-01-2010,25.2,28,21.2,1011.8,87,38.61,14,9.8,20.6,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,17-01-2010,25.4,29.1,22.4,1011.1,89,0,12.6,5.7,13,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,18-01-2010,25,27.6,23.4,1010,90,6.6,12.1,8,18.3,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,19-01-2010,25.5,28.9,23,1011.4,88,2.03,12.7,5.4,14.8,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,20-01-2010,26.4,30.4,22.9,1012.6,87,0,13.8,6.1,16.5,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,21-01-2010,26.6,30.1,23.5,1012.1,87,0,14.2,4.6,13,-,o, ,o, 
malaysia,Miri,ws-964490,4.33,113.98,22-01-2010,26.2,31.7,22.9,1012.1,85,0.51,15,8.1,20.6,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,23-01-2010,26.9,30.6,22.6,1012,83,0,15.4,6.9,16.5,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,24-01-2010,26.8,30.5,24,1011,85,0,13.7,8,16.5,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,25-01-2010,26.7,30.9,24,1010.9,86,0,15.3,10.9,22.2,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,26-01-2010,26.4,29.8,23.8,1011.3,84,5.84,15.6,8.1,18.3,-,o, , , 
malaysia,Miri,ws-964490,4.33,113.98,27-01-2010,26.2,31.3,22,1011.4,86,2.03,13,10.2,18.3,-,o, ,o, 
malaysia,Miri,ws-964490,4.33,113.98,28-01-2010,26.6,31,22.3,1010.9,84,4.57,13.7,6.9,16.5,-, , , , 
malaysia,Miri,ws-964490,4.33,113.98,29-01-2010,26.3,29,23.4,1011.5,86,0,13.2,8.1,18.3,-,o, ,o, 
malaysia,Miri,ws-964490,4.33,113.98,30-01-2010,25.6,28.3,24.6,1011.5,93,3.81,12.6,4.8,11.1,-,o, , , 
