country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,1-01-2010,28.3,32.2,25,-,71,0,9.3,8.9,14.8,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,2-01-2010,27.4,31,25.3,-,83,0,9.3,7,16.5,-,o, , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,3-01-2010,27,30,25,-,89,0,8.4,5,13,-,o, ,o, 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,4-01-2010,27.7,32.2,25.3,-,84,0.51,9.7,8.3,22.2,-,o, ,o, 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,5-01-2010,28.1,31.3,25.3,-,83,1.02,10.5,6.1,13,-, , ,o, 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,6-01-2010,27.9,33.4,25,-,84,0,9.2,8.1,20.6,-,o, ,o, 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,7-01-2010,27.6,30.7,22.6,-,81,4.83,8.7,5.4,38.9,-,o, , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,8-01-2010,27.5,31.1,22.6,-,77,12.45,10.1,7.4,16.5,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,9-01-2010,28.1,32,23.4,-,77,0,10,7.8,18.3,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,10-01-2010,27.8,32,25,-,85,0,8.2,6.7,20.6,-,o, , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,11-01-2010,28.2,32.3,24,-,77,3.3,9.2,6.9,16.5,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,12-01-2010,28.9,33,24,-,68,0,9.8,11.3,20.6,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,13-01-2010,28,32,24.6,-,75,0,10,8.1,16.5,-,o, , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,14-01-2010,27.7,31.7,24.4,-,74,0.51,9,9.8,22.2,-,o, , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,15-01-2010,27.9,32.6,24,-,71,0.51,9.3,10.4,18.3,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,16-01-2010,28.8,33.1,23.9,-,59,0,9.5,13.9,25.9,-, , , , 
malaysia,Penang / Bayan Lepas,ws-486010,5.3,100.26,17-01-2010,28.9,33,24.4,-,62,0,8.9,12,22.2,-, , , , 
