country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,SEPANG,ws-486500,3.1,101.7,1-01-2010,26.1,30,23,-,90,-,9.5,3.5,18.3,-,o, , , 
malaysia,SEPANG,ws-486500,3.1,101.7,2-01-2010,26.2,30,24,-,90,-,10,3.3,9.4,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,3-01-2010,27.3,32,23,-,86,-,9.7,6.3,16.5,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,4-01-2010,26.9,31,23,-,82,0,11.3,4.8,14.8,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,5-01-2010,27.7,32,24,-,81,0,11.3,6.7,13,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,6-01-2010,28.3,33,24,-,79,-,11.1,8.9,18.3,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,7-01-2010,27.4,32,24,-,82,0,11.3,7.4,18.3,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,8-01-2010,25.4,29,22,-,88,-,9.2,5.4,22.2,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,9-01-2010,26.4,32,24,-,85,-,9.7,4.4,13,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,10-01-2010,26.1,31,24,-,87,-,9.5,3.9,11.1,-,o, , , 
malaysia,SEPANG,ws-486500,3.1,101.7,11-01-2010,26.5,31,23,-,84,-,9.8,3.3,18.3,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,12-01-2010,26.1,32,23,-,85,-,9.8,4.1,14.8,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,13-01-2010,26.9,31,23,-,76,0,11.1,7.4,20.6,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,14-01-2010,27.6,32,23,-,70,0,11.3,14.6,22.2,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,15-01-2010,27.7,31,25,-,70,0,11.3,9.6,16.5,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,16-01-2010,27.1,31,24,-,76,-,11.1,6.7,13,-,o, , , 
malaysia,SEPANG,ws-486500,3.1,101.7,17-01-2010,27.6,31,25,-,78,0,9.3,4.4,9.4,-, , ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,18-01-2010,26.7,31,24,-,83,0,9,4.4,9.4,-, , ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,19-01-2010,27.4,31,25,-,82,0,10.6,4.3,11.1,-, , ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,20-01-2010,26.8,30,24,-,88,-,9.3,3,9.4,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,21-01-2010,27,32,24,-,86,0,7.7,2.8,11.1,-, , ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,22-01-2010,27.3,33,24,-,85,-,10.3,4.8,13,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,23-01-2010,27.9,34,24,-,79,-,10.1,7.8,22.2,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,24-01-2010,28.2,34,24,-,78,0,11.1,6.3,24.1,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,25-01-2010,28,33,24,-,76,-,11.3,5.7,14.8,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,26-01-2010,26.4,32,23,-,83,-,10.8,6.5,25.9,-,o, , , 
malaysia,SEPANG,ws-486500,3.1,101.7,27-01-2010,27.7,34,23,-,78,-,11.1,10.9,22.2,-,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,28-01-2010,27.8,33,23,-,78,0,11.3,4.8,11.1,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,29-01-2010,27.3,32,24,-,83,-,11.1,5.4,24.1,35.2,o, ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,30-01-2010,28.1,33,24,-,80,0,10.9,3.9,13,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,31-01-2010,27.3,32,24,-,85,-,9.8,5.4,14.8,-,o, , , 
malaysia,SEPANG,ws-486500,3.1,101.7,1-02-2010,27.9,33,24,-,81,0,10.8,5,11.1,-, , ,o, 
malaysia,SEPANG,ws-486500,3.1,101.7,2-02-2010,27.9,32,24,-,80,0,10.3,4.1,13,-, , , , 
malaysia,SEPANG,ws-486500,3.1,101.7,3-02-2010,27.9,33,24,-,81,-,10,5.4,14.8,-,o, , , 
