country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,1-01-2010,27.6,34,24,-,81,-,9.8,4.1,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,2-01-2010,26.5,32,23,-,86,-,10.9,3.7,7.6,24.1,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,3-01-2010,27.6,34,25,-,84,-,10.9,4.3,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,4-01-2010,26.3,31,23,-,88,-,10.8,4.3,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,5-01-2010,25.6,31,23,-,85,-,10.8,4.6,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,6-01-2010,27.3,34,23,-,81,0,11.3,3.5,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,7-01-2010,25.7,30,23,-,87,0,10.6,3.5,9.4,-, , ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,8-01-2010,26.7,32,23,-,83,0,11.1,3.7,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,9-01-2010,26.4,32,23,-,86,0,11.3,3.1,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,10-01-2010,27.2,32,24,-,83,-,10.9,3.1,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,11-01-2010,27.4,33,24,-,84,0,11.3,2.4,7.6,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,12-01-2010,27,32,23,-,82,0,11.3,4.6,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,13-01-2010,26.3,33,24,-,86,-,10.8,4.8,14.8,33.5,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,14-01-2010,25,28,23,-,89,-,11.3,4.4,13,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,15-01-2010,25.8,31,23,-,85,-,11.3,4.8,13,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,16-01-2010,26.1,30,24,-,83,-,11.3,4.4,13,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,17-01-2010,25.9,30,24,-,89,-,11.1,4.3,22.2,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,18-01-2010,25.7,30,24,-,89,-,11.1,4.3,16.5,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,19-01-2010,26.2,31,23,-,85,-,10.8,2.6,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,20-01-2010,27.4,34,23,-,78,-,10.6,4.4,7.6,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,21-01-2010,26.7,32,23,-,85,0,11.3,4.3,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,22-01-2010,27.3,33,23,-,84,0,11.3,4.4,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,23-01-2010,27.1,32,24,-,85,0,10.8,2.8,5.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,24-01-2010,27.9,33,25,-,80,0,11.3,5,16.5,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,25-01-2010,25.8,30,23,-,88,-,11.3,3.1,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,26-01-2010,27.4,33,23,-,80,-,10.9,4.6,11.1,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,27-01-2010,25.6,31,23,-,90,-,10.5,3.5,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,28-01-2010,27.2,34,24,-,83,-,11.1,3.1,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,29-01-2010,24.4,28,23,-,94,-,10.9,2.8,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,30-01-2010,27.2,33,23,-,83,0,11.1,3.5,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,31-01-2010,26.3,32,24,-,88,0,11.3,3.9,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,1-02-2010,27.5,33,24,-,82,0,11.3,3.3,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,2-02-2010,26.1,32,24,-,89,-,11.3,2.8,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,3-02-2010,27.8,33,24,-,81,0,11.1,4.1,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,4-02-2010,28.3,34,24,-,81,-,11.3,4.1,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,5-02-2010,26.3,31,23,-,87,-,11.3,4.1,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,6-02-2010,27.4,34,24,-,81,0,11.3,3.7,7.6,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,7-02-2010,27.2,35,23,-,81,-,11.1,3,7.6,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,8-02-2010,26.4,30,24,-,90,-,10.6,2.6,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,9-02-2010,28.8,34,26,-,81,-,11.3,4.8,14.8,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,10-02-2010,28,33,25,-,84,-,11.1,3.7,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,11-02-2010,28.6,34,26,-,82,0,11.3,4.6,14.8,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,12-02-2010,26.7,33,24,-,89,-,11.1,4.3,22.2,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,13-02-2010,26.8,32,24,-,86,0,11.3,3.3,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,14-02-2010,28,33,25,-,84,-,10.9,3.7,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,15-02-2010,25.7,28,25,-,92,-,11.3,3.1,5.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,16-02-2010,27.2,32,25,-,84,0,11.3,4.8,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,17-02-2010,27.3,34,25,-,87,-,11.1,3,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,18-02-2010,27.4,33,25,-,86,0,11.3,4.6,16.5,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,19-02-2010,27.2,33,24,-,85,-,10.1,5.4,13,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,20-02-2010,25.6,30,23,-,88,-,11.3,3.9,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,21-02-2010,27.9,33,24,-,82,0,11.3,4.8,18.3,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,22-02-2010,27.7,32,24,-,82,0,11.3,4.6,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,23-02-2010,28.2,34,25,-,82,-,11.3,2.8,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,24-02-2010,28,34,23,-,82,-,10.3,5.9,13,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,25-02-2010,26.4,31,23,-,86,0,11.3,3.3,7.6,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,26-02-2010,28.1,35,23,-,79,0,11.3,2.6,7.6,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,27-02-2010,29.1,35,26,-,81,0,11.3,3.9,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,28-02-2010,27.3,31,25,-,88,-,10.9,3.1,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,1-03-2010,27.9,33,25,-,85,0,11.3,4.8,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,2-03-2010,27.9,33,24,-,81,0,11.3,4.6,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,3-03-2010,28.1,34,24,-,84,0,11.3,3,5.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,4-03-2010,28.6,34,25,-,82,0,11.3,5.6,14.8,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,5-03-2010,26.5,33,23,-,87,-,10.8,4.1,14.8,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,6-03-2010,28.3,34,24,-,82,0,11.3,2.8,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,7-03-2010,28,34,25,-,85,-,10.8,3.7,9.4,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,8-03-2010,26.8,31,25,-,88,0,11.3,3.3,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,9-03-2010,25.6,29,24,-,90,-,11.3,3.3,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,10-03-2010,26.1,30,24,-,85,-,11.1,5,14.8,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,11-03-2010,26,31,24,-,87,-,11.3,3.7,14.8,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,12-03-2010,26.2,31,23,-,88,0,11.3,3.3,9.4,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,13-03-2010,28.2,34,25,-,82,-,11.3,3,7.6,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,14-03-2010,26.7,30,25,-,88,-,11.3,3.5,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,15-03-2010,27.9,33,24,-,80,-,10.6,4.8,14.8,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,16-03-2010,27.2,32,24,-,84,-,10.5,4.6,11.1,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,17-03-2010,25.1,28,23,-,90,-,10.6,2.6,9.4,-,o, , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,18-03-2010,27.2,33,24,-,84,-,10.9,3.3,9.4,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,19-03-2010,26.9,31,25,-,88,0,11.3,3.5,11.1,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,20-03-2010,26.4,32,24,-,88,-,10.9,4.1,14.8,-,o, ,o, 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,21-03-2010,27.4,33,25,-,85,0,11.3,3.5,13,-, , , , 
malaysia,SRI AMAN/SIMANGGA,ws-960011,1.21,111.45,22-03-2010,26.9,33,25,-,87,-,11.1,3.5,13,-,o, , , 
