country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,1-01-2010,28.1,32,24,-,73,0,11.3,8.5,16.5,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,2-01-2010,27.9,31,26,-,79,0,11.3,7,16.5,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,3-01-2010,26.9,29,25,-,86,-,11.3,5.4,11.1,-,o, , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,4-01-2010,26.7,33,24,-,86,-,10.3,5.6,16.5,-,o, ,o, 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,5-01-2010,27,32,24,-,87,-,10.9,5.4,18.3,-,o, ,o, 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,6-01-2010,26.6,33,24,-,87,-,10.9,5.2,14.8,-,o, ,o, 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,7-01-2010,26.9,31,25,-,88,-,11.3,4.6,9.4,-,o, , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,8-01-2010,27.2,32,24,-,81,-,11.3,6.3,13,-,o, , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,9-01-2010,27.6,33,23,-,75,0,11.3,6.9,16.5,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,10-01-2010,27.6,33,23,-,76,0,11.1,4.8,9.4,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,11-01-2010,27.5,33,23,-,75,0,11.3,4.8,9.4,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,12-01-2010,27.8,34,23,-,72,0,11.3,6.7,14.8,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,13-01-2010,28.2,33,23,-,68,0,11.3,7.4,16.5,-, , , , 
malaysia,SULTAN ABDUL HALIM,ws-486022,6.18,100.4,14-01-2010,27.7,33,23,-,69,0,11.3,8.9,18.3,35.2, , , , 
