country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,1-01-2010,27.4,32,25,-,80,0,11.1,4.6,14.8,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,2-01-2010,27.1,30,25,-,86,0,11.1,2,9.4,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,3-01-2010,25.6,32,24,-,93,-,8.7,4.4,11.1,29.4,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,4-01-2010,26.9,31,24,-,86,-,10.9,5.6,11.1,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,5-01-2010,27.2,33,24,-,85,-,10.8,6.7,22.2,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,6-01-2010,26.8,33,24,-,85,-,10.5,6.9,16.5,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,7-01-2010,27.7,32,24,-,82,0,11.3,4.8,13,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,8-01-2010,26.6,33,24,-,85,-,11.1,6.5,13,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,9-01-2010,26.6,33,23,-,85,-,9.8,4.8,13,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,10-01-2010,26.3,32,23,-,84,-,11.3,5.4,11.1,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,11-01-2010,27.3,33,23,-,79,-,10.5,5.2,13,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,12-01-2010,26.7,33,24,-,82,-,10.1,5.7,14.8,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,13-01-2010,26.8,32,24,-,81,0,10.9,3.9,9.4,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,14-01-2010,25.9,33,24,-,84,-,10.8,5.4,11.1,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,15-01-2010,27.2,32,24,-,77,0,11.3,6.7,14.8,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,16-01-2010,27.7,33,24,-,72,-,9.8,8.3,16.5,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,17-01-2010,27.7,33,24,-,74,0,11.3,4.1,16.5,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,18-01-2010,27.6,33,24,-,77,0,10.9,5.9,13,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,19-01-2010,27.7,33,24,-,77,0,10.9,6.1,20.6,-, , ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,20-01-2010,27.6,33,24,-,81,-,9.8,4.6,9.4,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,21-01-2010,26.3,30,24,-,93,-,8.7,2.2,7.6,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,22-01-2010,27.2,33,24,-,85,-,10.1,5.9,29.4,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,23-01-2010,26.8,33,24,-,88,-,10.5,5.4,14.8,27.8,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,24-01-2010,25.9,32,23,-,89,-,11.3,4.6,11.1,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,25-01-2010,27.4,33,23,-,80,0,10,4.8,9.4,-, , ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,26-01-2010,27.1,32,23,-,82,-,10.5,6.3,11.1,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,27-01-2010,27.1,33,23,-,84,-,11.1,4.1,13,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,28-01-2010,27.3,33,23,-,79,0,11.1,5.7,14.8,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,29-01-2010,26.8,34,24,-,83,-,9.7,5,18.3,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,30-01-2010,27.5,34,24,-,83,-,9.7,4.6,11.1,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,31-01-2010,27.3,33,24,-,83,-,11.3,5.6,14.8,-,o, ,o, 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,1-02-2010,28.6,34,24,-,75,0,10.3,5,18.3,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,2-02-2010,28.4,33,24,-,76,0,10.8,6.1,13,-, , , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,3-02-2010,28.1,34,25,-,79,-,9.8,5.6,18.3,-,o, , , 
malaysia,SULTAN AZLAN SHAH,ws-486023,4.56,101.08,4-02-2010,27.6,33,25,-,84,-,11.3,4.8,9.4,-,o, ,o, 
