country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Sandakan,ws-964910,5.9,118.06,1-01-2010,27.8,30.2,24.6,1008.9,83,4.06,11.4,16.7,24.1,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,2-01-2010,28,30.2,26.3,1009.9,83,0.51,12.4,12.6,18.3,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,3-01-2010,28.1,30.5,26,1009.9,83,0,12.7,11.9,16.5,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,4-01-2010,27.7,30.5,24.8,1009.2,83,0.51,12.6,10.7,18.3,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,5-01-2010,27.6,30.1,24.3,1009.8,83,0,11.9,10.7,16.5,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,6-01-2010,27.6,30.2,24.6,1010.5,82,0,12.2,10.4,18.3,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,7-01-2010,27.8,30.6,24.6,1010.8,79,0,11.6,14.1,18.3,35.2,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,8-01-2010,27.9,30.1,24.4,1010.3,77,7.87,12.7,14.3,20.6,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,9-01-2010,27.2,30.3,24.6,1010,83,0,12.1,9.3,18.3,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,10-01-2010,26.3,28.4,24.5,1010.2,89,1.02,10.5,8.1,16.5,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,11-01-2010,26.3,29.7,23.9,1010.8,88,3.05,9.5,8.1,16.5,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,12-01-2010,26.2,28,23.8,1011.3,90,19.05,10.5,7.6,14.8,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,13-01-2010,26.8,29.1,24.5,1011.9,88,3.05,10.6,15.9,29.4,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,14-01-2010,27.2,28.6,24.2,1011.9,83,34.04,11.6,26.9,31.3,57.2,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,15-01-2010,26.4,28.1,24,1011.5,86,3.05,9.7,26.9,33.5,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,16-01-2010,25.8,28.7,23.8,1011.2,92,17.02,5.1,15.7,22.2,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,17-01-2010,24,25.7,23,1010.5,96,114.05,8.7,5,18.3,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,18-01-2010,26.7,29.2,22.9,1010.5,88,30.99,12.2,8.7,16.5,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,19-01-2010,26.3,30.5,24,1011.9,90,0,11.3,5.6,11.1,-,o, ,o, 
malaysia,Sandakan,ws-964910,5.9,118.06,20-01-2010,25.7,28.4,23.7,1013.6,89,18.03,11.7,5.4,9.4,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,21-01-2010,26.8,29.7,23.6,1013,84,0,12.7,10.9,18.3,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,22-01-2010,26.7,29.6,23.3,1012.9,86,0,10.5,14.6,22.2,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,23-01-2010,26.7,29.4,24,1013,85,9.91,12.1,13.3,20.6,-, , , , 
malaysia,Sandakan,ws-964910,5.9,118.06,24-01-2010,27.4,29.7,23.6,1012.4,84,7.11,12.4,13.1,25.9,-,o, , , 
malaysia,Sandakan,ws-964910,5.9,118.06,25-01-2010,25.7,28,24,1012.3,89,17.02,10.3,12.8,24.1,-,o, , , 
