country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Sibu,ws-964210,2.33,111.83,1-01-2010,26.5,31.4,23,1009.1,85,7.11,17.1,5.6,13,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,2-01-2010,26.4,31.4,23,1010.1,86,13.97,14.8,3.7,13,-, , , , 
malaysia,Sibu,ws-964210,2.33,111.83,3-01-2010,26.2,32,23.7,1009.9,88,0,15.1,5,14.8,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,4-01-2010,26,30,22.8,1009.8,87,7.11,14.2,7.4,14.8,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,5-01-2010,24.4,27.2,22,1010.9,88,7.11,14.3,6.1,11.1,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,6-01-2010,27.3,32.4,22.3,1010.4,79,0.51,14.3,4.1,11.1,-, , , , 
malaysia,Sibu,ws-964210,2.33,111.83,7-01-2010,25.8,30.5,23,1011.3,88,0,15.3,4.3,18.3,42.4, , ,o, 
malaysia,Sibu,ws-964210,2.33,111.83,8-01-2010,26.6,32.1,23,1010.7,82,0,14.8,6.9,20.6,-, , , , 
malaysia,Sibu,ws-964210,2.33,111.83,9-01-2010,25.4,31.5,23,1010.8,89,0.51,12.6,4.3,13,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,10-01-2010,26,32.5,22.9,1010.9,85,0,14.5,4.4,14.8,-, , , , 
malaysia,Sibu,ws-964210,2.33,111.83,11-01-2010,25.6,31.9,22.9,1011.7,87,2.03,14.3,5.6,9.4,-,o, ,o, 
malaysia,Sibu,ws-964210,2.33,111.83,12-01-2010,25.1,31.5,22.7,1012.1,89,6.1,13,4.6,9.4,-,o, ,o, 
malaysia,Sibu,ws-964210,2.33,111.83,13-01-2010,24.8,30.7,22.7,1013.1,91,59.94,12.2,7.4,20.6,-,o, , , 
malaysia,Sibu,ws-964210,2.33,111.83,14-01-2010,23.5,25,22,1014.6,95,55.12,11.3,5.6,11.1,-,o, , , 
