country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
malaysia,Tawau,ws-964810,4.26,117.88,1-01-2010,27.5,33.3,23.4,1008.6,82,0,11.3,7.2,16.5,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,2-01-2010,27.8,33,24,1009.4,82,3.05,11.3,6.1,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,3-01-2010,27.7,33,23.9,1009.5,82,0.51,10.8,6.5,16.5,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,4-01-2010,28.1,33,23.3,1008.5,77,0.51,11.6,6.9,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,5-01-2010,28.1,33,23.3,1009.1,77,0,11.6,7.4,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,6-01-2010,27.9,33.3,24.2,1009.8,77,0,11.1,6.9,11.1,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,7-01-2010,27.3,31.2,24.7,1010,77,0,11.6,8.9,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,8-01-2010,27.6,32.3,24,1009.5,75,0,11.6,9.6,18.3,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,9-01-2010,27.3,33,23,1009.5,76,0,11.1,6.5,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,10-01-2010,27.4,32.9,22.5,1009.8,78,0,11.6,6.1,14.8,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,11-01-2010,26.7,32,23,1010.5,84,0,11.3,4.8,9.4,-,o, ,o, 
malaysia,Tawau,ws-964810,4.26,117.88,12-01-2010,26.6,29,23.2,1010.7,83,1.02,10.1,6.1,11.1,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,13-01-2010,26.7,32,24,1011.2,84,0,10.6,7.8,20.6,38.9,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,14-01-2010,25.4,29.3,24,1011.6,89,7.11,7.4,5.7,20.6,44.3,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,15-01-2010,24.8,27.2,23.9,1011.6,91,45.97,10,3.1,16.5,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,16-01-2010,25.9,28.4,23.7,1011,86,13.97,11.4,5.6,11.1,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,17-01-2010,25.8,29.5,22.9,1010.2,87,0,10.9,6.9,14.8,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,18-01-2010,25.9,30,22.6,1010.6,87,7.87,10.9,5,14.8,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,19-01-2010,23.9,26.2,22,1012.5,91,13.97,9,5.4,11.1,-,o, , , 
malaysia,Tawau,ws-964810,4.26,117.88,20-01-2010,25.9,30.3,21.9,1013.1,83,28.96,11.6,5.7,14.8,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,21-01-2010,26.8,32.3,22.7,1012.5,79,0,11.4,6.1,13,-, , , , 
malaysia,Tawau,ws-964810,4.26,117.88,22-01-2010,27.3,31.5,22.6,1012.2,78,0,11.6,7.6,14.8,-, , , , 
