Month Year,Production
Jan 2019,"1,737,461"
Feb 2019,"1,544,518"
Mar 2019,"1,672,058"
Apr 2019,"1,649,368"
May 2019,"1,671,467"
June 2019,"1,510,957"
Jul 2019,"1,740,759"
Aug 2019,"1,821,548"
Sep 2019,"1,842,433"
Oct 2019,"1,795,841"
Nov 2019,"1,538,053"
Dec 2019,"1,333,904"
Jan 2018,"1,586,653"
Feb 2018,"1,342,805"
Mar 2018,"1,573,957"
Apr 2018,"1,558,331"
May 2018,"1,525,405"
June 2018,"1,332,704"
Jul 2018,"1,503,220"
Aug 2018,"1,620,605"
Sep 2018,"1,853,602"
Oct 2018,"1,964,954"
Nov 2018,"1,845,222"
Dec 2018,"1,808,038"
Jan 2017,"1,276,849"
Feb 2017,"1,258,539"
Mar 2017,"1,464,021"
Apr 2017,"1,548,026"
May 2017,"1,654,494"
June 2017,"1,514,165"
Jul 2017,"1,826,828"
Aug 2017,"1,810,551"
Sep 2017,"1,779,918"
Oct 2017,"2,008,838"
Nov 2017,"1,942,847"
Dec 2017,"1,834,167"
Jan 2016,"1,129,747"
Feb 2016,"1,042,904"
Mar 2016,"1,219,449"
Apr 2016,"1,301,291"
May 2016,"1,364,583"
June 2016,"1,532,613"
Jul 2016,"1,585,341"
Aug 2016,"1,701,833"
Sep 2016,"1,715,085"
Oct 2016,"1,677,873"
Nov 2016,"1,574,938"
Dec 2016,"1,473,717"
Jan 2015,"1,160,687"
Feb 2015,"1,121,628"
Mar 2015,"1,495,151"
Apr 2015,"1,693,425"
May 2015,"1,810,530"
June 2015,"1,763,667"
Jul 2015,"1,815,634"
Aug 2015,"2,051,000"
Sep 2015,"1,959,064"
Oct 2015,"2,037,466"
Nov 2015,"1,653,946"
Dec 2015,"1,399,383"
Jan 2014,"1,508,980"
Feb 2014,"1,277,999"
Mar 2014,"1,497,145"
Apr 2014,"1,555,777"
May 2014,"1,656,970"
Jun 2014,"1,569,788"
Jul 2014,"1,665,612"
Aug 2014,"2,031,754"
Sep 2014,"1,896,899"
Oct 2014,"1,892,996"
Nov 2014,"1,750,567"
Dec 2014,"1,364,797"
Jan 2013,"1,288,294"
Feb 2013,"1,188,356"
Mar 2013,"1,211,257"
Apr 2013,"1,272,622"
May 2013,"1,383,735"
Jun 2013,"1,470,648"
Jul 2013,"1,691,916"
Aug 2013,"1,664,249"
Sep 2013,"2,004,238"
Oct 2013,"1,938,430"
Nov 2013,"1,891,132"
Dec 2013,"1,780,262"
