Month Year,Production
Jan 2019,1737461
Feb 2019,1544518
Mar 2019,1672058
Apr 2019,1649368
May 2019,1671467
June 2019,1510957
Jul 2019,1740759
Aug 2019,1821548
Sep 2019,1842433
Oct 2019,1795841
Nov 2019,1538053
Dec 2019,1333904
Jan 2018,1586653
Feb 2018,1342805
Mar 2018,1573957
Apr 2018,1558331
May 2018,1525405
June 2018,1332704
Jul 2018,1503220
Aug 2018,1620605
Sep 2018,1853602
Oct 2018,1964954
Nov 2018,1845222
Dec 2018,1808038
Jan 2017,1276849
Feb 2017,1258539
Mar 2017,1464021
Apr 2017,1548026
May 2017,1654494
June 2017,1514165
Jul 2017,1826828
Aug 2017,1810551
Sep 2017,1779918
Oct 2017,2008838
Nov 2017,1942847
Dec 2017,1834167
Jan 2016,1129747
Feb 2016,1042904
Mar 2016,1219449
Apr 2016,1301291
May 2016,1364583
June 2016,1532613
Jul 2016,1585341
Aug 2016,1701833
Sep 2016,1715085
Oct 2016,1677873
Nov 2016,1574938
Dec 2016,1473717
Jan 2015,1160687
Feb 2015,1121628
Mar 2015,1495151
Apr 2015,1693425
May 2015,1810530
June 2015,1763667
Jul 2015,1815634
Aug 2015,2051000
Sep 2015,1959064
Oct 2015,2037466
Nov 2015,1653946
Dec 2015,1399383
Jan 2014,1508980
Feb 2014,1277999
Mar 2014,1497145
Apr 2014,1555777
May 2014,1656970
Jun 2014,1569788
Jul 2014,1665612
Aug 2014,2031754
Sep 2014,1896899
Oct 2014,1892996
Nov 2014,1750567
Dec 2014,1364797
Jan 2013,1288294
Feb 2013,1188356
Mar 2013,1211257
Apr 2013,1272622
May 2013,1383735
Jun 2013,1470648
Jul 2013,1691916
Aug 2013,1664249
Sep 2013,2004238
Oct 2013,1938430
Nov 2013,1891132
Dec 2013,1780262
