Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,2448.0,2500.0,2530.0,2448.0,0.03,-3.32
2020-03-05,2532.0,2530.0,2566.0,2480.0,0.02,1.24
2020-03-04,2501.0,2388.0,2502.0,2388.0,0.16,3.99
2020-03-03,2405.0,2350.0,2377.0,2350.0,0.17,1.99
2020-03-02,2358.0,2415.0,2415.0,2350.0,0.17,0.04
2020-02-28,2357.0,2450.0,2450.0,2350.0,0.14,-5.61
2020-02-27,2497.0,2467.0,2497.0,2467.0,0.05,1.5
2020-02-26,2460.0,2495.0,2495.0,2435.0,0.02,-0.81
2020-02-25,2480.0,2560.0,2573.0,2480.0,0.44,-4.47
2020-02-24,2596.0,2666.0,2669.0,2590.0,1.13,-3.24
2020-02-21,2683.0,2680.0,2684.0,2660.0,0.46,0.52
2020-02-20,2669.0,2664.0,2669.0,2598.0,0.97,0.91
2020-02-19,2645.0,2712.0,2721.0,2644.0,0.85,-3.11
2020-02-18,2730.0,2725.0,2730.0,2699.0,1.01,0.18
2020-02-17,2725.0,2710.0,2735.0,2699.0,0.25,2.44
2020-02-14,2660.0,2700.0,2700.0,2655.0,0.03,-0.19
2020-02-13,2665.0,2680.0,2680.0,2655.0,0.03,-2.6
2020-02-12,2736.0,2700.0,2720.0,2695.0,0.09,-0.15
2020-02-11,2740.0,2824.0,2824.0,2760.0,0.0,-2.14
2020-02-10,2800.0,2800.0,2800.0,2800.0,0.01,-2.51
2020-02-07,2872.0,2903.0,2903.0,2903.0,0.0,-0.9
2020-02-06,2898.0,2922.0,2940.0,2860.0,0.2,1.58
2020-02-05,2853.0,2780.0,2850.0,2780.0,0.14,5.01
2020-02-04,2717.0,2709.0,2750.0,2691.0,0.16,1.76
2020-02-03,2670.0,2647.0,2685.0,2647.0,0.06,1.14
2020-01-31,2640.0,2640.0,2661.0,2629.0,0.24,-1.64
2020-01-30,2684.0,2730.0,2730.0,2654.0,0.33,-3.42
2020-01-29,2779.0,2794.0,2794.0,2794.0,0.13,5.27
2020-01-28,2640.0,2780.0,2784.0,2649.0,0.39,-9.74
2020-01-24,2925.0,2979.0,2979.0,2931.0,0.03,-2.01
2020-01-23,2985.0,3025.0,3030.0,2973.0,1.39,-1.74
2020-01-22,3038.0,2950.0,3041.0,2942.0,1.47,2.64
2020-01-21,2960.0,2966.0,2970.0,2910.0,1.05,-0.44
2020-01-20,2973.0,2939.0,2982.0,2939.0,1.06,1.75
2020-01-17,2922.0,2978.0,2983.0,2908.0,0.91,-1.55
2020-01-16,2968.0,2959.0,2994.0,2955.0,0.86,-2.05
2020-01-15,3030.0,3030.0,3030.0,3030.0,0.0,0.0
2020-01-14,3030.0,3030.0,3030.0,3030.0,0.0,-2.01
2020-01-13,3092.0,3092.0,3092.0,3092.0,0.0,-1.25
2020-01-10,3131.0,3035.0,3132.0,3035.0,0.04,0.74
2020-01-09,3108.0,3088.0,3120.0,3088.0,0.1,2.3
2020-01-08,3038.0,3043.0,3044.0,3043.0,0.02,0.0
2020-01-07,3038.0,3061.0,3090.0,3040.0,0.07,0.07
2020-01-06,3036.0,3060.0,3060.0,3060.0,0.02,-2.38
2020-01-03,3110.0,3129.0,3129.0,3100.0,0.06,-0.48
2020-01-02,3125.0,3060.0,3125.0,3046.0,0.07,2.76
2019-12-31,3041.0,3113.0,3118.0,3037.0,0.12,-1.81
2019-12-30,3097.0,3015.0,3100.0,3010.0,0.36,2.04
2019-12-27,3035.0,3010.0,3058.0,3006.0,0.26,2.22
2019-12-26,2969.0,2910.0,2970.0,2910.0,0.2,2.38
2019-12-24,2900.0,2901.0,2907.0,2890.0,0.5,-0.03
2019-12-23,2901.0,2907.0,2907.0,2893.0,0.15,0.14
2019-12-20,2897.0,2895.0,2901.0,2894.0,0.18,1.54
2019-12-19,2853.0,2810.0,2853.0,2789.0,0.24,0.63
2019-12-18,2835.0,2844.0,2846.0,2776.0,1.79,-0.49
2019-12-17,2849.0,2885.0,2885.0,2844.0,0.96,-0.07
2019-12-16,2851.0,2835.0,2861.0,2835.0,0.77,1.24
2019-12-13,2816.0,2816.0,2816.0,2816.0,0.0,0.0
2019-12-12,2816.0,2833.0,2833.0,2775.0,0.17,0.5
2019-12-11,2802.0,2802.0,2802.0,2802.0,0.01,-0.64
2019-12-10,2820.0,2825.0,2850.0,2820.0,0.05,0.64
2019-12-09,2802.0,2802.0,2802.0,2802.0,0.04,1.63
2019-12-06,2757.0,2757.0,2757.0,2757.0,0.0,1.55
2019-12-05,2715.0,2735.0,2735.0,2732.0,0.01,1.57
2019-12-04,2673.0,2662.0,2700.0,2662.0,0.09,1.02
2019-12-03,2646.0,2646.0,2646.0,2646.0,0.0,0.61
2019-12-02,2630.0,2590.0,2647.0,2590.0,0.08,0.38
2019-11-29,2620.0,2650.0,2687.0,2620.0,0.2,-0.64
2019-11-28,2637.0,2598.0,2631.0,2570.0,0.18,1.42
2019-11-27,2600.0,2566.0,2600.0,2544.0,0.4,0.78
2019-11-26,2580.0,2599.0,2599.0,2550.0,0.13,-2.64
2019-11-25,2650.0,2645.0,2663.0,2645.0,0.14,0.3
2019-11-22,2642.0,2558.0,2645.0,2558.0,0.15,2.72
2019-11-21,2572.0,2585.0,2599.0,2557.0,0.3,-0.62
2019-11-20,2588.0,2553.0,2599.0,2553.0,0.29,2.74
2019-11-19,2519.0,2501.0,2524.0,2499.0,0.54,1.0
2019-11-18,2494.0,2503.0,2537.0,2477.0,0.66,-2.58
2019-11-15,2560.0,2560.0,2560.0,2560.0,0.0,0.0
2019-11-14,2560.0,2560.0,2560.0,2560.0,0.0,1.03
2019-11-13,2534.0,2534.0,2534.0,2534.0,0.0,-0.82
2019-11-12,2555.0,2555.0,2555.0,2555.0,0.0,-0.97
2019-11-11,2580.0,2550.0,2550.0,2550.0,0.04,2.14
2019-11-08,2526.0,2526.0,2526.0,2526.0,0.0,1.85
2019-11-07,2480.0,2561.0,2561.0,2489.0,0.0,-0.48
2019-11-06,2492.0,2450.0,2500.0,2450.0,0.02,1.55
2019-11-05,2454.0,2500.0,2500.0,2444.0,0.05,-0.65
2019-11-04,2470.0,2420.0,2456.0,2420.0,0.05,1.98
2019-11-01,2422.0,2400.0,2410.0,2381.0,0.03,-0.9
2019-10-31,2444.0,2381.0,2444.0,2381.0,0.04,1.41
2019-10-30,2410.0,2373.0,2410.0,2368.0,0.25,2.99
2019-10-29,2340.0,2342.0,2355.0,2324.0,0.3,1.34
2019-10-25,2309.0,2305.0,2340.0,2284.0,0.25,0.96
2019-10-24,2287.0,2250.0,2287.0,2249.0,0.39,2.14
2019-10-23,2239.0,2260.0,2272.0,2235.0,0.73,0.13
2019-10-22,2236.0,2202.0,2236.0,2184.0,0.59,0.95
2019-10-21,2215.0,2213.0,2228.0,2207.0,0.39,0.32
2019-10-18,2208.0,2186.0,2209.0,2184.0,1.19,0.73
2019-10-17,2192.0,2195.0,2210.0,2186.0,0.73,0.14
2019-10-16,2189.0,2170.0,2192.0,2170.0,1.28,4.84
2019-10-15,2088.0,2088.0,2088.0,2088.0,0.0,0.0
2019-10-14,2088.0,2073.0,2073.0,2073.0,0.0,-1.42
2019-10-11,2118.0,2150.0,2156.0,2125.0,0.01,-0.8
2019-10-10,2135.0,2135.0,2135.0,2135.0,0.0,-0.23
2019-10-09,2140.0,2140.0,2150.0,2121.0,0.09,1.04
2019-10-08,2118.0,2113.0,2120.0,2113.0,0.04,0.67
2019-10-07,2104.0,2104.0,2105.0,2103.0,0.04,0.38
2019-10-04,2096.0,2096.0,2096.0,2096.0,0.0,0.48
2019-10-03,2086.0,2086.0,2107.0,2086.0,0.12,0.05
2019-10-02,2085.0,2085.0,2085.0,2085.0,0.02,-1.09
2019-10-01,2108.0,2112.0,2117.0,2106.0,0.11,1.44
2019-09-30,2078.0,2074.0,2084.0,2067.0,0.14,-0.57
2019-09-27,2090.0,2096.0,2096.0,2087.0,0.08,-0.81
2019-09-26,2107.0,2074.0,2111.0,2074.0,0.11,1.1
2019-09-25,2084.0,2087.0,2087.0,2075.0,0.08,0.24
2019-09-24,2079.0,2107.0,2112.0,2074.0,1.15,-2.12
2019-09-23,2124.0,2148.0,2148.0,2120.0,0.18,-1.71
2019-09-20,2161.0,2173.0,2173.0,2158.0,0.43,-0.92
2019-09-19,2181.0,2223.0,2223.0,2179.0,0.23,-0.82
2019-09-18,2199.0,2194.0,2204.0,2181.0,1.04,-0.63
2019-09-17,2213.0,2223.0,2230.0,2212.0,0.7,5.13
2019-09-13,2105.0,2105.0,2105.0,2105.0,0.0,0.0
2019-09-12,2105.0,2120.0,2145.0,2120.0,0.01,-0.43
2019-09-11,2114.0,2120.0,2120.0,2110.0,0.11,-0.89
2019-09-10,2133.0,2130.0,2130.0,2120.0,0.08,0.8
2019-09-06,2116.0,2117.0,2117.0,2117.0,0.02,1.24
2019-09-05,2090.0,2080.0,2090.0,2070.0,0.13,-0.48
2019-09-04,2100.0,2100.0,2100.0,2100.0,0.01,-0.28
2019-09-03,2106.0,2145.0,2155.0,2098.0,0.57,-2.86
2019-08-30,2168.0,2143.0,2151.0,2115.0,0.32,0.6
2019-08-29,2155.0,2165.0,2165.0,2140.0,0.12,-2.05
2019-08-28,2200.0,2201.0,2201.0,2196.0,0.03,0.73
2019-08-27,2184.0,2190.0,2190.0,2190.0,0.02,-1.31
2019-08-26,2213.0,2250.0,2253.0,2220.0,0.65,0.14
2019-08-23,2210.0,2190.0,2212.0,2190.0,0.31,0.41
2019-08-22,2201.0,2170.0,2212.0,2170.0,0.48,1.76
2019-08-21,2163.0,2121.0,2161.0,2112.0,0.9,1.6
2019-08-20,2129.0,2109.0,2142.0,2102.0,0.39,1.14
2019-08-19,2105.0,2136.0,2136.0,2103.0,0.3,-1.77
2019-08-16,2143.0,2163.0,2165.0,2130.0,0.91,-1.34
2019-08-15,2172.0,2172.0,2172.0,2172.0,0.0,-0.09
2019-08-14,2174.0,2160.0,2180.0,2160.0,0.04,0.09
2019-08-13,2172.0,2152.0,2164.0,2152.0,0.05,1.45
2019-08-09,2141.0,2140.0,2142.0,2140.0,0.02,3.28
2019-08-08,2073.0,2045.0,2045.0,2045.0,0.0,1.62
2019-08-07,2040.0,2029.0,2040.0,2029.0,0.01,0.15
2019-08-06,2037.0,2023.0,2031.0,2023.0,0.02,0.49
2019-08-05,2027.0,2024.0,2026.0,2024.0,0.02,0.7
2019-08-02,2013.0,2013.0,2013.0,2013.0,0.01,-0.1
2019-08-01,2015.0,2000.0,2010.0,2000.0,0.03,-0.2
2019-07-31,2019.0,2008.0,2019.0,2000.0,0.06,0.55
2019-07-29,2008.0,1990.0,2015.0,1990.0,0.29,0.6
2019-07-26,1996.0,1970.0,2000.0,1970.0,0.36,0.55
2019-07-25,1985.0,1960.0,1988.0,1935.0,0.98,1.95
2019-07-24,1947.0,1942.0,1955.0,1940.0,0.78,0.78
2019-07-23,1932.0,1917.0,1934.0,1911.0,0.21,0.63
2019-07-22,1920.0,1914.0,1921.0,1905.0,0.44,0.79
2019-07-19,1905.0,1910.0,1913.0,1899.0,0.07,-0.57
2019-07-18,1916.0,1909.0,1918.0,1906.0,0.14,-0.31
2019-07-17,1922.0,1905.0,1924.0,1896.0,0.28,0.21
