Date,Open,High,Low,Close,Volume
2010-01-04,6.85,6.88,6.84,6.86,3.05
2010-01-05,6.89,6.96,6.89,6.9,8.53
2010-01-06,6.91,6.96,6.88,6.9,7.82
2010-01-07,6.89,6.91,6.88,6.88,8.19
2010-01-08,6.93,6.93,6.87,6.92,5.92
2010-01-11,6.92,6.92,6.87,6.89,6.0
2010-01-12,6.88,6.89,6.87,6.89,3.81
2010-01-13,6.89,6.89,6.84,6.87,7.11
2010-01-14,6.87,6.91,6.85,6.89,4.39
2010-01-15,6.89,6.91,6.85,6.91,4.17
2010-01-18,6.88,6.92,6.87,6.88,3.5
2010-01-19,6.88,6.9,6.87,6.88,6.64
2010-01-20,6.89,6.95,6.88,6.89,12.82
2010-01-21,6.89,7.0,6.89,6.98,8.33
2010-01-22,6.95,6.95,6.9,6.91,9.2
2010-01-25,6.9,6.9,6.87,6.9,3.39
2010-01-26,6.9,6.92,6.77,6.85,8.37
2010-01-27,6.82,6.83,6.7,6.82,8.12
2010-01-28,6.82,6.82,6.78,6.8,8.38
2010-01-29,6.77,6.81,6.73,6.79,6.73
2010-02-02,6.85,6.92,6.8,6.8,6.02
2010-02-03,6.84,6.9,6.8,6.9,5.01
2010-02-04,6.9,6.91,6.83,6.89,7.83
2010-02-05,6.79,6.84,6.78,6.81,9.44
2010-02-08,6.77,6.77,6.7,6.72,14.1
2010-02-09,6.67,6.74,6.62,6.72,8.45
2010-02-10,6.8,6.86,6.79,6.84,9.81
2010-02-11,6.84,6.84,6.8,6.83,3.48
2010-02-12,6.84,6.91,6.83,6.9,6.04
2010-02-17,6.93,6.96,6.87,6.89,13.75
2010-02-18,6.93,6.95,6.86,6.89,8.92
2010-02-19,6.89,6.92,6.86,6.89,9.47
2010-02-22,6.92,6.96,6.92,6.96,11.29
2010-02-23,6.95,7.0,6.94,6.98,9.05
2010-02-24,6.97,6.99,6.97,6.97,8.85
2010-02-25,6.99,7.0,6.97,6.97,11.6
2010-03-01,7.0,7.05,6.98,7.03,13.33
2010-03-02,6.99,7.05,6.95,7.0,12.16
2010-03-03,7.02,7.03,6.95,6.98,12.33
2010-03-04,7.01,7.07,6.99,7.01,16.71
2010-03-05,7.06,7.46,7.06,7.4,29.1
2010-03-08,7.5,7.65,7.47,7.52,30.11
2010-03-09,7.51,7.52,7.37,7.41,16.58
2010-03-10,7.43,7.53,7.43,7.48,11.1
2010-03-11,7.48,7.51,7.39,7.42,18.87
2010-03-12,7.44,7.44,7.32,7.33,13.31
2010-03-15,7.35,7.36,7.24,7.32,15.33
2010-03-16,7.33,7.37,7.27,7.31,11.73
2010-03-17,7.34,7.35,7.28,7.29,8.92
2010-03-18,7.32,7.33,7.26,7.3,5.43
2010-03-19,7.29,7.3,7.19,7.24,13.04
2010-03-22,7.24,7.31,7.23,7.28,10.28
2010-03-23,7.32,7.44,7.3,7.41,9.74
2010-03-24,7.46,7.48,7.4,7.45,8.81
2010-03-25,7.45,7.45,7.38,7.39,9.81
2010-03-26,7.39,7.44,7.39,7.42,7.18
2010-03-29,7.42,7.52,7.4,7.5,7.81
2010-03-30,7.52,7.55,7.44,7.46,6.45
2010-03-31,7.46,7.47,7.43,7.47,6.9
2010-04-01,7.47,7.52,7.47,7.47,9.96
2010-04-02,7.45,7.5,7.45,7.49,6.16
2010-04-05,7.51,7.51,7.48,7.5,7.42
2010-04-06,7.52,7.55,7.49,7.52,12.14
2010-04-07,7.55,7.55,7.49,7.55,7.97
2010-04-08,7.54,7.54,7.48,7.49,5.49
2010-04-09,7.5,7.52,7.49,7.49,7.73
2010-04-12,7.5,7.53,7.49,7.5,8.41
2010-04-13,7.51,7.53,7.49,7.51,7.4
2010-04-14,7.53,7.53,7.49,7.51,5.53
2010-04-15,7.53,7.55,7.49,7.51,9.55
2010-04-16,7.52,7.52,7.44,7.44,11.5
2010-04-19,7.41,7.41,7.34,7.4,8.88
2010-04-20,7.45,7.49,7.44,7.48,7.84
2010-04-21,7.49,7.51,7.48,7.49,10.66
2010-04-22,7.49,7.51,7.46,7.5,8.61
2010-04-23,7.5,7.52,7.46,7.47,6.56
2010-04-26,7.47,7.5,7.47,7.48,3.88
2010-04-27,7.48,7.49,7.47,7.49,5.13
2010-04-28,7.42,7.49,7.4,7.45,5.94
2010-04-29,7.45,7.5,7.44,7.48,6.49
2010-04-30,7.48,7.69,7.48,7.66,17.95
2010-05-03,7.63,7.72,7.62,7.63,10.13
2010-05-04,7.65,7.67,7.62,7.65,8.03
2010-05-05,7.58,7.66,7.57,7.63,7.35
2010-05-06,7.6,7.63,7.52,7.58,14.86
2010-05-07,7.48,7.55,7.45,7.55,12.44
2010-05-10,7.54,7.56,7.5,7.53,11.05
