Date,Open,High,Low,Close,Volume
2014-08-18,2105.0,2112.0,2096.0,2099.0,1.04
2014-08-19,2107.0,2107.0,2074.0,2074.0,0.86
2014-08-20,2078.0,2078.0,2051.0,2054.0,0.56
2014-08-21,2070.0,2070.0,2044.0,2055.0,0.92
2014-08-22,2063.0,2063.0,2020.0,2021.0,1.24
2014-08-25,2028.0,2050.0,1979.0,2049.0,1.97
2014-08-26,2057.0,2057.0,1999.0,2035.0,1.22
2014-08-27,2045.0,2057.0,1995.0,1996.0,0.72
2014-08-28,1981.0,2000.0,1978.0,1984.0,0.65
2014-08-29,1977.0,1979.0,1922.0,1937.0,0.4
2014-09-02,1930.0,1964.0,1930.0,1964.0,0.12
2014-09-03,1970.0,1990.0,1962.0,1984.0,0.57
2014-09-04,1982.0,2027.0,1980.0,2035.0,0.31
2014-09-05,2050.0,2050.0,2036.0,2041.0,0.02
2014-09-08,2070.0,2076.0,2050.0,2054.0,0.05
2014-09-09,2050.0,2050.0,2028.0,2050.0,0.1
2014-09-10,2023.0,2040.0,2023.0,2049.0,0.01
2014-09-11,2060.0,2075.0,2060.0,2090.0,0.04
2014-09-12,2111.0,2125.0,2111.0,2125.0,0.02
2014-09-15,2150.0,2170.0,2150.0,2160.0,0.03
2014-09-17,2120.0,2160.0,2110.0,2156.0,1.03
2014-09-18,2171.0,2189.0,2160.0,2170.0,1.16
2014-09-19,2154.0,2157.0,2130.0,2136.0,1.54
2014-09-22,2119.0,2123.0,2093.0,2123.0,0.92
2014-09-23,2125.0,2155.0,2125.0,2152.0,0.77
2014-09-24,2156.0,2180.0,2149.0,2178.0,0.6
2014-09-25,2180.0,2211.0,2180.0,2205.0,0.98
2014-09-26,2200.0,2205.0,2189.0,2189.0,0.33
2014-09-29,2182.0,2206.0,2178.0,2202.0,0.19
2014-09-30,2223.0,2237.0,2223.0,2232.0,0.12
2014-10-01,2257.0,2257.0,2210.0,2210.0,0.04
2014-10-02,2213.0,2224.0,2095.0,2165.0,0.05
2014-10-03,2165.0,2195.0,2150.0,2187.0,0.11
2014-10-07,2210.0,2211.0,2206.0,2202.0,0.05
2014-10-08,2225.0,2225.0,2220.0,2220.0,0.04
2014-10-09,2208.0,2249.0,2208.0,2220.0,0.09
2014-10-10,2209.0,2209.0,2209.0,2209.0,0.0
2014-10-13,2187.0,2187.0,2187.0,2187.0,0.0
2014-10-14,2193.0,2193.0,2193.0,2193.0,0.0
2014-10-15,2178.0,2178.0,2178.0,2178.0,0.0
2014-10-16,2130.0,2150.0,2120.0,2135.0,1.29
2014-10-17,2151.0,2167.0,2148.0,2165.0,0.43
2014-10-20,2143.0,2151.0,2140.0,2147.0,0.22
2014-10-21,2152.0,2160.0,2149.0,2159.0,0.39
2014-10-23,2169.0,2198.0,2166.0,2185.0,0.87
2014-10-24,2203.0,2211.0,2192.0,2199.0,0.55
2014-10-27,2196.0,2196.0,2182.0,2188.0,1.07
2014-10-28,2190.0,2225.0,2189.0,2222.0,1.12
2014-10-29,2240.0,2260.0,2229.0,2260.0,0.56
2014-10-30,2290.0,2290.0,2268.0,2275.0,0.16
2014-10-31,2270.0,2295.0,2251.0,2295.0,0.15
2014-11-03,2300.0,2315.0,2300.0,2315.0,0.03
2014-11-04,2305.0,2305.0,2283.0,2285.0,0.12
2014-11-05,2265.0,2265.0,2230.0,2228.0,0.12
2014-11-06,2220.0,2220.0,2219.0,2219.0,0.03
2014-11-07,2210.0,2215.0,2190.0,2192.0,0.21
2014-11-10,2200.0,2205.0,2185.0,2205.0,0.15
2014-11-11,2220.0,2225.0,2191.0,2234.0,0.06
2014-11-12,2260.0,2260.0,2219.0,2214.0,0.02
2014-11-13,2191.0,2191.0,2191.0,2191.0,0.0
2014-11-14,2191.0,2191.0,2191.0,2191.0,0.0
2014-11-17,2195.0,2212.0,2195.0,2208.0,0.44
2014-11-18,2210.0,2231.0,2210.0,2230.0,0.28
2014-11-19,2239.0,2246.0,2231.0,2234.0,0.2
2014-11-20,2228.0,2228.0,2206.0,2213.0,0.06
2014-11-21,2230.0,2231.0,2208.0,2215.0,0.32
2014-11-24,2224.0,2230.0,2192.0,2195.0,0.19
2014-11-25,2205.0,2205.0,2180.0,2201.0,0.28
2014-11-26,2206.0,2216.0,2200.0,2205.0,0.3
2014-11-27,2212.0,2212.0,2162.0,2165.0,0.52
2014-11-28,2125.0,2148.0,2118.0,2147.0,0.41
2014-12-01,2125.0,2125.0,2088.0,2100.0,0.13
2014-12-02,2133.0,2133.0,2106.0,2129.0,0.06
2014-12-03,2116.0,2160.0,2110.0,2160.0,0.23
2014-12-04,2185.0,2185.0,2150.0,2147.0,0.11
2014-12-05,2150.0,2150.0,2120.0,2135.0,0.1
2014-12-08,2150.0,2150.0,2148.0,2148.0,0.3
2014-12-09,2138.0,2138.0,2120.0,2107.0,0.3
2014-12-10,2125.0,2145.0,2125.0,2140.0,0.07
2014-12-11,2145.0,2175.0,2145.0,2175.0,0.0
2014-12-12,2190.0,2190.0,2145.0,2154.0,0.28
2014-12-15,2154.0,2154.0,2154.0,2154.0,0.0
2014-12-16,2130.0,2133.0,2104.0,2113.0,0.74
2014-12-17,2107.0,2125.0,2098.0,2123.0,0.27
