Date,Open,High,Low,Close,Volume
2019-01-02,1.724,1.733,1.689,1.689,4.71
2019-01-03,1.704,1.763,1.674,1.684,5.23
2019-01-04,1.694,1.714,1.664,1.714,2.06
2019-01-07,1.733,1.763,1.684,1.704,5.96
2019-01-08,1.714,1.733,1.605,1.615,9.27
2019-01-09,1.645,1.674,1.605,1.615,6.64
2019-01-10,1.615,1.655,1.507,1.507,10.52
2019-01-11,1.526,1.566,1.497,1.526,12.04
2019-01-14,1.546,1.546,1.408,1.428,11.51
2019-01-15,1.428,1.477,1.418,1.477,7.42
2019-01-16,1.487,1.497,1.458,1.477,4.52
2019-01-17,1.487,1.556,1.458,1.507,13.1
2019-01-18,1.526,1.556,1.517,1.526,7.41
2019-01-22,1.536,1.546,1.497,1.497,5.42
2019-01-23,1.497,1.507,1.467,1.467,5.84
2019-01-24,1.477,1.536,1.477,1.526,6.51
2019-01-25,1.536,1.546,1.507,1.526,6.28
2019-01-28,1.526,1.546,1.467,1.467,7.17
2019-01-29,1.467,1.517,1.448,1.497,8.85
2019-01-30,1.497,1.507,1.467,1.487,5.75
2019-01-31,1.487,1.507,1.477,1.487,4.13
2019-02-04,1.497,1.507,1.477,1.507,2.87
2019-02-07,1.507,1.517,1.477,1.497,4.02
2019-02-08,1.487,1.497,1.477,1.497,3.51
2019-02-11,1.507,1.517,1.487,1.507,4.36
2019-02-12,1.507,1.605,1.507,1.576,13.99
2019-02-13,1.615,1.635,1.586,1.605,13.53
2019-02-14,1.615,1.615,1.576,1.586,5.06
2019-02-15,1.595,1.615,1.586,1.595,4.64
2019-02-18,1.595,1.615,1.595,1.605,3.66
2019-02-19,1.605,1.684,1.605,1.664,12.71
2019-02-20,1.664,1.674,1.635,1.645,7.69
2019-02-21,1.645,1.664,1.625,1.645,3.85
2019-02-22,1.645,1.645,1.576,1.586,6.11
2019-02-25,1.586,1.615,1.546,1.546,6.95
2019-02-26,1.536,1.556,1.517,1.536,4.01
2019-02-27,1.536,1.546,1.517,1.526,3.0
2019-02-28,1.536,1.536,1.497,1.507,3.42
2019-03-01,1.507,1.546,1.497,1.546,7.37
2019-03-04,1.546,1.546,1.517,1.517,4.25
2019-03-05,1.517,1.526,1.487,1.517,7.65
2019-03-06,1.517,1.517,1.487,1.497,4.12
2019-03-07,1.497,1.536,1.487,1.517,5.36
2019-03-08,1.507,1.517,1.497,1.497,3.11
2019-03-11,1.497,1.497,1.458,1.458,5.69
2019-03-12,1.477,1.497,1.458,1.477,3.13
2019-03-13,1.477,1.487,1.438,1.438,4.84
2019-03-14,1.438,1.477,1.438,1.438,3.27
2019-03-15,1.448,1.477,1.448,1.467,4.92
2019-03-18,1.458,1.477,1.428,1.438,3.44
2019-03-19,1.438,1.448,1.418,1.418,4.29
2019-03-20,1.418,1.448,1.408,1.428,5.87
2019-03-21,1.418,1.438,1.399,1.418,5.52
2019-03-22,1.418,1.428,1.399,1.408,4.51
2019-03-25,1.408,1.408,1.389,1.399,2.29
2019-03-26,1.399,1.418,1.379,1.399,3.65
2019-03-27,1.399,1.438,1.399,1.428,3.05
2019-03-28,1.438,1.438,1.408,1.408,1.55
2019-03-29,1.418,1.477,1.408,1.448,6.98
2019-04-01,1.458,1.497,1.448,1.487,4.66
2019-04-02,1.497,1.517,1.487,1.487,4.43
2019-04-03,1.487,1.556,1.487,1.556,8.43
2019-04-04,1.556,1.556,1.487,1.507,5.78
2019-04-05,1.507,1.517,1.458,1.467,3.65
2019-04-08,1.467,1.477,1.458,1.467,2.51
2019-04-09,1.467,1.477,1.438,1.438,5.23
2019-04-10,1.438,1.487,1.428,1.477,5.89
2019-04-11,1.487,1.497,1.467,1.477,3.1
2019-04-12,1.487,1.517,1.477,1.497,2.88
2019-04-15,1.497,1.507,1.448,1.458,2.26
2019-04-16,1.458,1.477,1.438,1.458,2.04
2019-04-17,1.467,1.477,1.438,1.458,3.94
2019-04-18,1.458,1.487,1.458,1.467,3.39
2019-04-19,1.477,1.487,1.448,1.458,1.6
2019-04-22,1.458,1.477,1.448,1.477,2.0
2019-04-23,1.477,1.576,1.467,1.566,15.8
2019-04-24,1.566,1.605,1.536,1.566,15.41
2019-04-25,1.566,1.576,1.526,1.546,3.74
2019-04-26,1.546,1.566,1.526,1.526,2.46
2019-04-29,1.507,1.536,1.487,1.487,4.84
2019-04-30,1.497,1.526,1.487,1.487,4.75
2019-05-02,1.507,1.507,1.467,1.467,2.0
2019-05-03,1.467,1.507,1.448,1.497,2.77
2019-05-06,1.477,1.477,1.448,1.458,2.54
2019-05-07,1.467,1.507,1.458,1.477,2.53
2019-05-08,1.448,1.477,1.438,1.477,2.49
2019-05-09,1.477,1.487,1.448,1.467,2.86
2019-05-10,1.477,1.497,1.467,1.467,3.54
2019-05-13,1.467,1.467,1.408,1.458,5.5
2019-05-14,1.418,1.467,1.408,1.458,4.3
2019-05-15,1.497,1.595,1.487,1.566,26.81
2019-05-16,1.595,1.615,1.566,1.566,13.43
2019-05-17,1.576,1.595,1.566,1.586,7.29
